Parameter,Value,Units,
"Sum of all consumption",1599.414,,
"Sum of all exports",0.6912259,,
"Sum of all respiratory flows",862.0228,,
"Sum of all flows into detritus",966.8976,,
"Total system throughput",3429.025,,
"Sum of all production",1561.92,,
"Mean trophic level of the catch",3.105036,,
"Gross efficiency (catch/net p.p.)",0.0006190379,,
"Calculated total net primary production",1156.999,,
"Total primary production/total respiration",1.34219,,
"Net system production",294.9758,,
"Total primary production/total biomass",15.26288,,
"Total biomass/total throughput",0.02210679,,
"Total biomass (excluding detritus)",75.80474,,
"Total catch",0.7162259,,
"Connectance Index",0.1987402,,
"System Omnivory Index",0.3006079,,
"Total market value",0,,
"Total shadow value",0,,
"Total value",0,,
"Total fixed cost",0,,
"Total variable cost",0,,
"Total cost",0,,
Profit,0,,
"Ecopath pedigree",0.7402598,,
"Measure of fit, t*",9.012492,,
"Shannon diversity index",2.983378,,
