Parameter,Value,Units,
"Sum of all consumption",1599.416,,
"Sum of all exports",0.6912259,,
"Sum of all respiratory flows",862.0238,,
"Sum of all flows into detritus",966.8979,,
"Total system throughput",3429.029,,
"Sum of all production",1561.92,,
"Mean trophic level of the catch",3.105083,,
"Gross efficiency (catch/net p.p.)",0.0006190379,,
"Calculated total net primary production",1156.999,,
"Total primary production/total respiration",1.342189,,
"Net system production",294.9747,,
"Total primary production/total biomass",15.263,,
"Total biomass/total throughput",0.02210659,,
"Total biomass (excluding detritus)",75.80413,,
"Total catch",0.7162259,,
"Connectance Index",0.2043214,,
"System Omnivory Index",0.3013561,,
"Total market value",0.004590668,,
"Total shadow value",0,,
"Total value",0.004590668,,
"Total fixed cost",0.002754401,,
"Total variable cost",0.001836267,,
"Total cost",0.004590668,,
Profit,0,,
"Ecopath pedigree",0.6979866,,
"Measure of fit, t*",7.858208,,
"Shannon diversity index",2.980446,,
