CUT2,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajapolystigma,SSHC1,SSSC1,SSSC2,Scyliorhinuscanicula,Torpedomarmorata,DC,SPOM,BD
SB,0.998222,0.0322173,0.000185619,-0.0166681,-0.00589476,-0.105207,-0.0282813,-0.0616248,-0.00389624,-0.00738305,0.0176656,0.024356,0.00178576,-0.00191008,-0.00376618,-0.0101269,-0.000352396,-0.682223,-0.00100476,-0.0659452,3.26189,0.267173,-0.0379782,0.401149,-0.620157,-0.0343802,0.00595435,13.9547,5.9299,3.59281,-0.096081,-0.049681,-0.202048,-0.333489,-0.107068,0.375786,-0.163111,-0.014254,-0.0181598,-0.0129342,5.42799,-0.316033,0.00621996,-0.0418981,-0.0162587,0.000286715,-0.0200139,-0.000177785,0.000649559,-0.00366423,-8.41843e-06,0.00508087,1.13237,-0.0731893,0.257303,8.55531,5.53021,5.29669,1.07283,4.5612,0.578623,7.99188,0.281532,0.0357775,0.2502,-0.000131342,-2.21539e-05,-0.000461227,-3.43378e-05,-0.0187762,0.000183391,-0.00133127,-0.000146667,-0.0282517,-0.000161801,-0.00033184,-0.0126364,-0.000753475,1.36304,-2.71251,0.943672
MM,-4.81798e-06,0.967109,-0.000186373,-0.00206435,-0.00412427,-0.0159785,-0.00557044,-0.0024676,-5.00375e-05,-0.000206135,-0.00153924,-0.00172809,-9.31722e-05,-2.50853e-05,-7.47483e-05,4.67196e-05,-2.73305e-05,0.0316072,0.00268469,0.0107502,0.0364701,0.0346705,0.0169604,0.00246865,0.175182,-0.0060808,0.0528866,0.0367111,0.00651935,0.045053,0.00362053,0.0144722,0.133378,0.286641,0.0224042,0.0028127,0.011114,0.00264263,-0.00073236,-0.00149656,0.106983,0.041749,-0.000568804,0.00155947,0.00585781,6.33547e-05,0.00861582,-6.90154e-06,-0.000272721,-0.000151021,-1.86208e-07,0.00105758,0.0184828,-0.00303081,0.148384,0.100916,0.0835797,0.150907,0.0181807,0.026073,0.00787933,0.0690713,0.011635,0.00498006,0.0101207,-9.36262e-05,-2.00805e-05,-0.000105269,-1.63943e-05,-0.00376418,-2.72968e-05,-4.77391e-05,-5.36073e-06,-0.00111903,0.000493456,0.000256352,-0.00495359,-0.000105607,-0.0788072,-0.10716,0.0412038
TUR,3.52608e-07,-0.00235289,0.921842,-0.000111218,2.3778e-05,-0.000278814,-0.00121485,-0.000301305,1.15612e-05,-2.58224e-05,-0.000188821,-0.000485468,2.51275e-06,-7.09453e-05,-0.00154144,-0.000383238,-0.000434588,-0.000589624,-0.000164741,-0.000109949,-0.00650269,-0.00107644,0.000123053,-0.0080605,-0.0308336,-0.000765722,0.00147743,0.00167142,-0.00280455,-0.00886421,-0.017707,-0.0020885,0.0435907,-0.00144266,-0.00839935,-0.007329,-0.00867644,0.236385,-0.00407754,-0.00460224,0.170073,0.301262,0.320902,0.118823,-0.0303547,-0.00159377,-0.00803959,0.000250002,0.800679,0.00073557,2.61993e-05,-0.00988941,-0.00261818,-0.000768528,-0.010738,-0.0097565,-0.0292862,0.0921597,-0.127603,0.0845255,-0.00095935,0.0707738,0.11383,0.134024,0.145809,-6.33517e-05,-3.20635e-06,-0.000190101,-0.000104174,-0.00947494,-0.000170045,-0.00152789,-1.48014e-05,-0.0014508,7.42414e-05,3.04048e-05,-0.00142963,9.6201e-06,-0.0390046,-0.169611,0.366596
XIP,-4.85495e-05,-0.0382782,-0.000189202,0.996851,-0.0048371,-0.00827991,0.0268274,0.00795025,-5.59434e-05,-0.000172136,0.000131286,0.000482394,5.61975e-05,-7.45714e-05,-0.00040444,-0.000198785,0.000332529,-0.0242287,-0.000322052,0.0121424,0.0192371,0.0185394,-3.16091e-05,0.0035445,0.183978,-0.0033814,-0.0070932,0.420341,0.142519,-0.0131947,0.0484568,0.017288,0.134367,0.376738,0.0212032,0.0129225,0.0128701,0.00110078,-0.000908036,-0.0015482,0.228737,0.0497637,0.00152182,0.00013961,0.00713579,6.19891e-05,0.00891666,-1.02052e-05,-0.000291834,-0.000463263,-1.45317e-07,0.00263312,0.0346397,-0.00237156,0.0378909,0.222678,0.113268,0.18601,0.0563399,0.0236149,0.0160315,0.136142,0.0160573,0.00189448,0.0140051,-7.70428e-05,-3.05203e-05,-0.00014167,-1.7844e-05,-0.00451687,-3.28198e-05,-6.02201e-05,-7.60876e-06,-0.00184322,0.000711973,0.000284908,-0.00500067,-9.56075e-05,-0.0824555,-0.154225,0.0346098
THU,-3.80247e-06,-0.00763913,-1.12521e-05,-0.000486967,0.998114,-0.0119902,0.00941947,0.0123322,-2.58819e-05,-0.000111823,-0.000877859,-0.00121738,-7.5086e-05,2.53785e-05,0.000306486,6.43218e-06,3.9478e-06,0.0258866,-5.63431e-05,0.00757426,0.0156648,0.00458357,0.0290732,0.00644903,0.0931738,-0.00244733,0.0398438,0.0269404,0.0177364,-0.00254629,0.00070298,-0.00306299,-0.000542573,0.0738445,0.00853291,0.0031724,0.00436586,0.0012434,-0.00017899,-0.000279037,0.0466577,0.0279294,0.000255989,-0.00449695,0.00401606,8.98942e-05,0.00156689,-2.82645e-06,-8.01955e-05,-9.21564e-05,3.63327e-07,-0.000382345,0.013511,-0.000549707,0.00877668,0.0395517,0.0086263,0.0789673,0.0165274,-0.0254248,0.0042922,0.00753835,0.00323405,-0.00377516,0.00165375,-4.04358e-05,-2.49347e-06,-8.2503e-05,-8.61602e-06,-0.00151785,-1.90936e-05,-2.98285e-05,-2.29152e-06,-0.000871175,6.08602e-05,-9.26747e-06,-0.000240252,-1.67802e-05,-0.0751176,-0.0941473,-0.00123174
LPL,-1.12224e-05,-0.00620901,-1.66519e-05,-0.000242436,-0.00227551,0.917937,0.0122775,0.0206557,-7.38956e-05,-0.000168394,-0.00890542,-0.013462,-0.000876192,-3.94864e-05,-0.000273083,-0.000290567,-1.55558e-05,0.323392,-0.000100578,0.00447207,0.00761342,-0.00169608,-1.0193e-05,-0.000859786,0.146722,0.1219,0.127894,0.0498912,0.11836,-0.00617032,-0.000845805,0.0160868,0.0012432,0.0070551,-0.00873166,0.0105509,0.00807026,0.000209272,-0.000726679,0.00156435,0.150348,0.0499519,0.000687416,-0.00825697,0.00546494,0.000163254,0.00199459,-8.21908e-06,-0.000127742,0.0011755,-1.57396e-07,-0.0018733,0.0201796,0.0320341,0.0792298,0.103332,0.116199,0.168139,0.0338362,0.0204574,0.00837193,0.0639475,0.0110188,-0.000531855,0.00699898,-0.000104647,1.14872e-05,-6.07529e-05,-1.53274e-05,-0.00289955,-3.07948e-05,-7.02257e-05,-5.05815e-06,-0.00081328,-0.000409698,-0.000272497,-0.000263505,1.01029e-06,-0.0878586,-0.12628,0.0216385
MPL,-3.5707e-06,-0.00276015,-7.0297e-05,-0.001769,-0.00622006,-0.0682329,0.972889,0.214653,-0.000212441,-0.000415901,-0.00244804,-0.0025555,-0.00016034,-8.21652e-05,-0.000633044,-0.000725463,-0.000143909,0.0582645,-8.2061e-05,-0.000174157,-0.011552,0.130439,-0.00904331,-0.000736392,0.139062,-0.0113301,-0.0203627,0.0300102,0.0105181,-0.0168716,-0.00179419,-0.00380305,0.0334752,0.00561831,-0.00412774,0.0200478,-0.00035582,0.000904425,-0.000830579,-0.000673973,0.0880102,0.05316,0.0326178,-0.00648804,0.0033025,2.569e-05,0.00312191,-6.83185e-06,-0.000218756,-7.95855e-05,-7.66906e-08,0.00446978,0.12557,-9.43893e-06,0.00670609,0.176892,0.067978,0.1315,0.0298659,0.0121477,0.0323069,0.116137,0.010537,-0.00106066,0.00570381,-0.000174108,1.48602e-05,-4.99344e-05,-2.93056e-05,-0.00351413,-3.2131e-05,-6.68646e-05,-1.76462e-05,-0.00734768,-0.000203965,-0.00015229,-0.00262981,-0.000466164,-0.0822037,-0.119561,0.0150824
SPL,3.13125e-06,0.00142287,-2.18311e-06,0.000110408,-0.000499455,-0.0143561,-0.0970419,0.965921,-0.000100394,9.35366e-05,0.000245383,0.000558601,4.34417e-05,-0.000117744,-0.00080583,-8.64363e-05,-4.82909e-05,-0.014837,-1.96411e-05,-0.0030086,-0.0214447,-0.0173682,-0.0389026,-0.00176658,0.151477,-0.00457182,-0.0140668,-0.0325756,-0.00785555,-0.0400766,-0.00201835,-0.00408918,-0.00294265,-0.0060608,-0.000815952,-0.00385118,0.000988444,-0.000346672,-1.84237e-05,-0.000460893,-0.00250705,0.0161568,0.00784576,0.000194372,0.00144175,2.11637e-05,0.0006825,1.01776e-06,-4.38932e-05,-0.000233141,1.05389e-06,-0.00188566,-0.0550257,-0.000538669,-0.0133019,0.663769,0.00590263,0.12248,0.0241516,-0.031624,0.0155446,0.331865,0.000348495,-0.0129494,-0.00316756,-2.61455e-05,7.7527e-06,4.74798e-05,-3.66392e-06,-0.00232661,-8.55689e-06,1.16694e-05,1.64863e-06,-0.00663464,-0.000109425,9.8803e-05,0.000229701,5.26006e-05,-0.04136,-0.116099,-0.0468436
HAK,3.16001e-06,-0.000167397,3.61013e-07,1.155e-05,-8.01372e-06,0.0014969,-0.000669298,-0.00354989,0.99888,-0.00193245,-0.00298014,0.000268147,-0.000272699,-6.91653e-05,3.61129e-05,-0.000385303,-9.64656e-05,-0.0066289,6.60057e-07,-0.0166778,-0.0332976,-0.0220274,0.00138669,-0.000963315,-0.0294851,-0.0010006,-0.000270349,-0.0377671,3.74971e-05,-0.0379357,0.000623296,0.00414736,-0.000152172,0.00253208,-0.00101337,-0.00170608,-0.0145027,0.000239169,-0.00187491,-0.00193397,-0.0636217,0.000699333,0.000453727,0.0117197,-0.000120496,-4.71161e-06,-8.28953e-05,8.31736e-06,2.95118e-05,-2.97502e-05,2.49339e-06,-0.00238344,0.758522,-0.00341431,-0.0182791,0.449082,0.471354,0.357779,0.0699437,0.126234,0.170517,0.366123,-0.00381315,-0.0375998,-0.0106012,3.02679e-05,3.15863e-05,-7.108e-05,2.94765e-06,0.000618158,-2.79849e-06,7.54491e-06,2.50051e-06,0.000355492,-0.000736674,0.000247842,0.000321883,6.21749e-05,-0.00449243,-0.138974,-0.181243
HAK1,3.24246e-08,0.000193137,1.42146e-06,1.94591e-05,2.48939e-05,0.00201685,-0.00119136,-0.00118579,-0.00104548,0.997601,-0.00251268,-0.000223661,-0.00016581,-9.98333e-05,-0.00078042,-0.000496786,-0.000237969,-0.00855295,-0.000113559,-0.0170639,0.0992647,-0.0313503,-0.00128704,-0.00324973,0.0323588,-0.000474947,-0.00422825,-0.0196158,-0.00494108,0.0482096,-0.00419055,7.75486e-05,-0.00232035,-0.00101373,0.0624521,-0.0043104,-0.0134028,-0.0021478,-0.00207884,-0.00251578,0.122533,0.00959469,-0.00279737,-0.00840149,0.00385478,0.000129212,0.00145034,-4.52907e-06,-4.15858e-05,-0.000273544,5.43779e-07,-0.00212279,0.805828,-0.000681748,0.000554012,-0.00307382,0.154314,0.18046,0.0391197,0.0934317,0.161325,0.150523,0.00501322,-0.00771335,0.00270668,2.3448e-05,3.94527e-05,-8.57069e-05,2.70694e-06,-0.0262805,-9.26416e-06,3.49016e-05,4.0905e-06,-0.00602093,-0.000851392,0.000332105,-0.00260984,-0.000144614,-0.0756232,-0.13727,-0.00488663
