ORI,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,RSH,RSS,SSH,SSS,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,DC,SPOM,BD
SB,0.998222,0.0322121,0.000177453,-0.0166668,-0.00589482,-0.105218,-0.0282996,-0.0615089,-0.00389681,-0.00737296,0.0176874,0.0243922,0.00178548,-0.00187966,-0.00323339,-0.010155,-0.000342433,-0.682063,-0.000999624,-0.0659222,3.26193,0.270234,-0.0379599,0.401645,-0.619548,-0.034367,0.005932,-0.0202987,-0.000214804,-0.041468,-0.000675723,13.9534,5.92981,3.59295,-0.0951334,-0.0499079,-0.202002,-0.333498,-0.107003,0.378702,-0.163324,-0.0117545,-0.0181807,-0.0129082,5.43103,-0.315809,0.00658483,-0.0417536,-0.0163122,0.000285078,-0.0199877,-0.000177999,0.000641565,-0.00366124,-8.44853e-06,0.00536241,1.13286,-0.0731759,0.257308,8.55456,5.52996,5.29645,1.07321,4.56188,0.578675,7.99201,0.281802,0.036129,0.250579,1.3658,-2.71237,0.945385
MM,-4.82438e-06,0.967058,-0.000186744,-0.00206732,-0.0041251,-0.0159641,-0.00558525,-0.00254524,-5.02392e-05,-0.000208018,-0.00154048,-0.00172788,-9.30229e-05,-1.49863e-05,-6.6003e-05,4.94749e-05,-2.73153e-05,0.0315431,0.00268352,0.0107836,0.0376088,0.0350914,0.0169083,0.00213929,0.175362,-0.00607798,0.0528329,-0.00395377,-0.000137391,-0.006184,0.00125295,0.0366917,0.00649918,0.0447454,0.00334634,0.0144716,0.133949,0.286894,0.0225638,0.00289382,0.0110947,0.00252019,-0.000737225,-0.00150285,0.1075,0.0420817,-0.000569393,0.00158856,0.00586193,6.29581e-05,0.0086402,-6.94755e-06,-0.00027357,-0.000151458,-1.89952e-07,0.00105838,0.0186749,-0.00302623,0.148328,0.100831,0.0835555,0.150932,0.0182323,0.0261414,0.00791406,0.0691186,0.0116802,0.00504631,0.0101742,-0.0788367,-0.107264,0.0414883
TUR,3.39996e-07,-0.00235747,0.921836,-0.000111431,2.4989e-05,-0.000279306,-0.00122054,-0.000314295,1.15151e-05,-2.8335e-05,-0.000197184,-0.00049505,2.54274e-06,-4.32866e-05,-0.00106673,-0.000387687,-0.000428779,-0.000593431,-0.000161207,-0.000120961,-0.00637992,-0.000807995,0.000103431,-0.00816492,-0.0306604,-0.00076043,0.00146827,-0.0113839,-0.000363226,-0.00291961,0.000109087,0.00165049,-0.00263081,-0.0088742,-0.0178603,-0.00211518,0.0436975,-0.0014609,-0.00840943,-0.0067018,-0.00877696,0.238903,-0.00410016,-0.00461424,0.171055,0.302655,0.321208,0.118971,-0.0303317,-0.00159394,-0.00804328,0.000249825,0.800636,0.0007365,2.61812e-05,-0.00987964,-0.00257703,-0.000767735,-0.0107389,-0.00977053,-0.0293265,0.0922631,-0.127694,0.0849324,-0.000951627,0.0711318,0.113988,0.134235,0.146025,-0.0381724,-0.169835,0.367433
XIP,-4.85445e-05,-0.038348,-0.000189702,0.996847,-0.00484086,-0.00827412,0.0268046,0.00787772,-5.61324e-05,-0.000173491,0.000131104,0.000483231,5.62926e-05,-6.47257e-05,-0.0003912,-0.000196429,0.000332676,-0.024272,-0.000321915,0.0121913,0.0203327,0.0189338,-7.20615e-05,0.00325241,0.184172,-0.00338138,-0.00711269,-0.00470613,-0.000179907,-0.00693669,0.00169118,0.420216,0.142467,-0.0134437,0.048218,0.0173138,0.134944,0.377212,0.021364,0.0130493,0.0128715,0.00101316,-0.000913633,-0.00155411,0.22938,0.0501422,0.00152765,0.00017712,0.00714344,6.15903e-05,0.00894307,-1.02585e-05,-0.000292889,-0.00046367,-1.49913e-07,0.00263489,0.034816,-0.0023678,0.0379099,0.22259,0.113252,0.186083,0.0564072,0.0237082,0.0160626,0.136205,0.0161147,0.00197005,0.0140709,-0.0824892,-0.154369,0.0349355
THU,-3.80248e-06,-0.00764728,-1.14051e-05,-0.000487549,0.998112,-0.0119911,0.00941793,0.0123356,-2.59087e-05,-0.000111462,-0.000877143,-0.00121611,-7.50841e-05,2.56716e-05,0.000317852,6.16171e-06,4.40078e-06,0.0258918,-5.61801e-05,0.00757918,0.0156259,0.00471072,0.0290755,0.00647652,0.0932301,-0.00244663,0.0398367,-0.00162955,-0.000106235,-0.00114711,0.000167603,0.0269333,0.0177349,-0.0025254,0.000744017,-0.00305851,-0.000566702,0.0739603,0.00853499,0.00324052,0.00436798,0.00129496,-0.000180696,-0.000279239,0.0468312,0.0280698,0.0002735,-0.00447819,0.00401937,8.97827e-05,0.00156627,-2.84057e-06,-8.05375e-05,-9.20102e-05,3.61417e-07,-0.000375042,0.0135321,-0.000549553,0.00877355,0.0395585,0.00862406,0.0789951,0.0165417,-0.0253831,0.00429653,0.00757935,0.00325528,-0.00374977,0.00167596,-0.0750813,-0.0941908,-0.00113324
LPL,-1.12227e-05,-0.00621032,-1.69968e-05,-0.000242532,-0.00227575,0.917937,0.0122751,0.0206556,-7.39761e-05,-0.000168258,-0.00890586,-0.0134618,-0.000876235,-3.84132e-05,-0.000249117,-0.000291816,-1.45971e-05,0.323411,-0.000100028,0.00447018,0.0075823,-0.00151639,-8.6469e-06,-0.000835281,0.146921,0.121891,0.127875,-0.00315597,-9.70263e-05,-0.00110989,-0.000733385,0.0498813,0.118357,-0.00615071,-0.000824425,0.0160996,0.00122582,0.00707988,-0.00871494,0.0106828,0.00805507,0.000315041,-0.000730253,0.00156412,0.150532,0.0502031,0.000719027,-0.0082273,0.00546706,0.000162983,0.00199369,-8.24064e-06,-0.000128402,0.00117573,-1.60354e-07,-0.00186517,0.0202389,0.0320309,0.0792256,0.103347,0.116204,0.168172,0.0338248,0.0205303,0.00838409,0.064019,0.0110482,-0.000486594,0.00703422,-0.0877523,-0.126328,0.0218132
MPL,-3.57562e-06,-0.00275648,-7.08051e-05,-0.00176877,-0.00622081,-0.0682371,0.972879,0.214666,-0.000212744,-0.000413179,-0.00244672,-0.0025444,-0.000160494,-8.07585e-05,-0.000572932,-0.000725136,-0.00014261,0.0583173,-8.14658e-05,-0.000196219,-0.0117758,0.132252,-0.00903628,-0.000570353,0.139303,-0.0113286,-0.0203769,-0.00387833,-8.79474e-05,-0.0105207,-0.000414871,0.0299853,0.0105165,-0.0167539,-0.00141401,-0.00396082,0.0333413,0.00563529,-0.00416252,0.0204705,-0.000418804,0.00109145,-0.000839335,-0.000674256,0.0887936,0.0536734,0.0326829,-0.00645564,0.00331341,2.53137e-05,0.00312334,-6.90344e-06,-0.000220084,-7.98839e-05,-8.76198e-08,0.00457718,0.125781,-9.54936e-06,0.00668572,0.176916,0.0680272,0.131542,0.0299529,0.0124498,0.0323492,0.116398,0.0106356,-0.000925978,0.00580496,-0.0820688,-0.119622,0.0156801
SPL,3.13147e-06,0.0014446,-2.14297e-06,0.000111442,-0.00050124,-0.0143673,-0.0970299,0.96601,-0.000100318,9.75603e-05,0.000254232,0.000567929,4.32879e-05,-0.000123401,-0.000792568,-8.61917e-05,-4.72817e-05,-0.0147769,-1.96192e-05,-0.00303804,-0.0221845,-0.017569,-0.0388656,-0.00137302,0.151451,-0.00457202,-0.0140622,-0.0023404,3.56171e-05,-0.00638105,-4.6456e-05,-0.0325837,-0.00783541,-0.0397808,-0.00164927,-0.00407194,-0.00338123,-0.00603917,-0.000911323,-0.00377274,0.00101518,-0.000190432,-1.94858e-05,-0.000452596,-0.00250345,0.016228,0.00788521,0.000230983,0.00144805,2.13179e-05,0.000668293,1.02278e-06,-4.39988e-05,-0.000232736,1.05266e-06,-0.00187326,-0.0551004,-0.000539085,-0.0133301,0.663836,0.00589371,0.122525,0.0241381,-0.031602,0.0155318,0.331898,0.000362502,-0.0129411,-0.00315609,-0.0412913,-0.116143,-0.0468401
HAK,3.16112e-06,-0.000166133,4.21199e-07,1.16082e-05,-8.04424e-06,0.00149757,-0.000666752,-0.00354793,0.998879,-0.00193335,-0.00298017,0.000267216,-0.00027263,-6.98479e-05,2.98231e-05,-0.000386632,-9.69713e-05,-0.00663439,5.29482e-07,-0.0167254,-0.0333372,-0.0223458,0.00139177,-0.00095613,-0.0294386,-0.00100054,-0.0002732,0.000655806,-7.50782e-05,0.000712634,-0.000642097,-0.0377712,4.63773e-05,-0.0379273,0.000569174,0.00421451,-0.000169744,0.00253031,-0.000963007,-0.00175682,-0.0145128,0.000232788,-0.00187358,-0.00193467,-0.0639678,0.000639972,0.000448594,0.0117201,-0.00012361,-4.65559e-06,-8.40984e-05,8.33643e-06,2.96911e-05,-2.94986e-05,2.49595e-06,-0.00240061,0.758616,-0.00341545,-0.0182705,0.449087,0.471389,0.357804,0.0698816,0.126191,0.170531,0.366089,-0.00383812,-0.0376202,-0.0106233,-0.00450529,-0.138963,-0.18136
HAK1,2.77398e-08,0.000189362,2.12669e-06,1.92318e-05,2.38815e-05,0.00200378,-0.00119337,-0.00115307,-0.00104589,0.997612,-0.00247946,-0.000194961,-0.000165993,-0.000102617,-0.000829354,-0.000495219,-0.000236865,-0.00847536,-0.000113006,-0.0171126,0.0993414,-0.0311413,-0.00127767,-0.00313045,0.0323733,-0.000478684,-0.00423159,-0.025562,-0.000101682,-0.00884784,-0.000723318,-0.0196203,-0.00493242,0.0482791,-0.00403616,8.85456e-05,-0.0023174,-0.000985799,0.0625702,-0.00414841,-0.013414,-0.00238061,-0.00208261,-0.00248477,0.122644,0.00989315,-0.00280128,-0.00836438,0.00386658,0.000129027,0.00145706,-4.54232e-06,-4.14556e-05,-0.000273502,5.43425e-07,-0.00210752,0.806017,-0.000682746,0.000575646,-0.00302299,0.154353,0.180695,0.0391597,0.09339,0.161361,0.150544,0.00504022,-0.00769785,0.00272942,-0.0757879,-0.137544,-0.00484286
