TOT,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Chimaeramonstrosa,Dalatiaslicha,Dipturusoxyrinchus,Etmopterusspinax,Galeusmelastomus,Mustelusasterias,Mustelusmustelus,Myliobatisaquila,RSH,RSS,Rajaasterias,Rajaclavata,Rajamiraletus,Rajapolystigma,SSH,SSS,Scyliorhinuscanicula,Squalusblainville,Torpedomarmorata,Torpedotorpedo,DC,SPOM,BD
SB,0.998222,0.0322423,0.000186867,-0.0166674,-0.00588877,-0.105053,-0.0283514,-0.0619387,-0.00389555,-0.00751095,0.0173038,0.0239244,0.00178888,-0.00197206,-0.00461884,-0.0101849,-0.000357624,-0.683243,-0.000998777,-0.0659963,3.25984,0.263838,-0.0379391,0.399612,-0.620399,-0.0343648,0.00598682,13.9562,5.92992,3.59092,-0.100984,-0.0486026,-0.202147,-0.333597,-0.107391,0.37465,-0.162814,-0.0145315,-0.0181318,-0.0130203,5.42373,-0.316552,0.00582493,-0.0424587,-0.0163178,0.000284679,-0.0200851,-0.000177544,0.000653185,-0.00366678,-8.37438e-06,0.00457763,1.13156,-0.0731846,0.257316,8.55568,5.53019,5.2964,1.07227,4.56033,0.57849,7.99147,0.281076,0.0352642,0.249793,-0.000126165,0.000164219,-6.19596e-05,-0.000456839,0.000190715,-0.0003652,-0.00104176,-0.0203745,-3.30583e-05,-0.00292185,1.24312e-05,-0.00131632,-0.0116768,-0.00435455,-0.0001458,-0.00507551,0.000369024,-0.0125601,-0.000640491,-0.000738864,-0.00193155,1.36127,-2.71222,0.941394
MM,-4.81198e-06,0.967132,-0.000186692,-0.00206267,-0.0041209,-0.0159617,-0.00557192,-0.00248247,-4.99976e-05,-0.000220333,-0.00157969,-0.00176182,-9.288e-05,-2.70956e-05,-0.000102084,4.18771e-05,-2.79067e-05,0.0315076,0.00268577,0.0107327,0.0363474,0.0344243,0.0169735,0.00241695,0.175081,-0.00607969,0.0529215,0.0367158,0.00647525,0.045043,0.00344619,0.0143222,0.133407,0.286346,0.0223117,0.00276123,0.0110754,0.00273748,-0.000730944,-0.00151465,0.106748,0.0416505,-0.000587806,0.00151604,0.00584868,6.32762e-05,0.00861098,-6.88655e-06,-0.00027278,-0.000151557,-1.8391e-07,0.00103288,0.0184274,-0.00302986,0.148415,0.100905,0.0835761,0.150847,0.0181465,0.0260333,0.00786799,0.0690253,0.0116064,0.00494819,0.0100991,-9.33165e-05,-2.04262e-05,-3.08677e-06,-0.000106019,-3.75506e-05,0.000466733,-5.62876e-05,-0.000593715,-1.63355e-05,-0.000319323,-6.35422e-06,-4.78574e-05,-0.00276074,-0.000650309,-5.32178e-06,-0.000414297,1.14846e-05,-0.00495697,8.41633e-05,-0.000104887,-2.866e-05,-0.078803,-0.107071,0.0410649
TUR,3.48209e-07,-0.00235939,0.921838,-0.000111678,2.30451e-05,-0.000298728,-0.00121565,-0.000314444,1.15376e-05,-9.8811e-06,-0.000142944,-0.000447542,2.11582e-06,-6.91854e-05,-0.0015276,-0.000377941,-0.000435443,-0.000470762,-0.000165249,-9.23891e-05,-0.00633107,-0.00105786,0.000105543,-0.00814038,-0.0307091,-0.000770971,0.00146532,0.00169474,-0.00275153,-0.00887734,-0.0176399,-0.00205044,0.0436164,-0.00139436,-0.00830976,-0.00750381,-0.00862763,0.236054,-0.00406465,-0.00457309,0.169779,0.300306,0.320882,0.118753,-0.0303538,-0.00159273,-0.00802921,0.000250086,0.800727,0.000735928,2.6207e-05,-0.00986497,-0.0025827,-0.000770065,-0.0106948,-0.00972925,-0.0292163,0.0921429,-0.127563,0.0844876,-0.000951067,0.0707469,0.11378,0.133952,0.145748,-6.32484e-05,-0.000138624,-3.88175e-06,-0.000189868,1.02983e-05,6.67353e-05,4.71421e-06,-0.00147316,-0.000103914,-0.00153744,-3.07359e-05,-0.00152578,-0.00182804,-0.00608831,-1.47171e-05,-1.16947e-06,3.44433e-05,-0.00143002,1.01834e-07,9.54509e-06,3.41481e-05,-0.0392988,-0.169518,0.366379
XIP,-4.85448e-05,-0.0382364,-0.000189517,0.996854,-0.00483113,-0.00824899,0.0268261,0.00792709,-5.58585e-05,-0.000192662,7.31811e-05,0.000430045,5.66706e-05,-7.86839e-05,-0.000460554,-0.00020586,0.000332022,-0.0243886,-0.000321218,0.0121144,0.0190145,0.0181456,-1.93678e-05,0.00343386,0.183811,-0.00337678,-0.0070761,0.420402,0.142475,-0.0132894,0.0480865,0.0171169,0.134356,0.376253,0.0210785,0.0128318,0.012825,0.00121562,-0.000905119,-0.00157099,0.228276,0.0495869,0.0014868,6.35721e-05,0.00711899,6.18005e-05,0.00890531,-1.0175e-05,-0.000291669,-0.000463824,-1.40775e-07,0.00258901,0.0345496,-0.00236881,0.0378633,0.222639,0.113228,0.185878,0.0562807,0.0235088,0.0160121,0.136031,0.0160017,0.00183367,0.0139603,-7.65082e-05,-2.41882e-05,-8.62561e-06,-0.000142552,-4.14302e-05,0.000671262,-0.000123529,-0.00102715,-1.77301e-05,-0.000321823,-8.03371e-06,-6.00034e-05,-0.00341979,-0.000731318,-7.53827e-06,-0.000565795,1.10174e-05,-0.00500166,6.18393e-05,-9.43232e-05,-9.21815e-05,-0.0824276,-0.154076,0.0343462
THU,-3.79935e-06,-0.00763012,-1.12391e-05,-0.000486334,0.998115,-0.0119835,0.00941859,0.0123191,-2.58548e-05,-0.000115327,-0.000887592,-0.00122456,-7.49869e-05,2.52984e-05,0.000302457,5.65359e-06,3.62484e-06,0.025852,-5.62667e-05,0.00756316,0.0156458,0.00451597,0.0290704,0.00638874,0.0931307,-0.00244689,0.0398487,0.0269395,0.0177223,-0.00256608,0.00063233,-0.00308406,-0.000544008,0.0737394,0.00850281,0.00313949,0.00435631,0.00124365,-0.000177726,-0.000283936,0.0465299,0.0278365,0.000242553,-0.00452753,0.00401252,8.9935e-05,0.0015653,-2.81791e-06,-8.00236e-05,-9.24568e-05,3.64771e-07,-0.000389449,0.0134851,-0.000549236,0.00876959,0.0395299,0.00861422,0.0789304,0.0165172,-0.0254594,0.00428624,0.00749739,0.00321605,-0.00379618,0.00163685,-4.03228e-05,-1.40399e-05,-3.33045e-07,-8.2645e-05,-3.36906e-06,3.98795e-05,-3.61588e-05,-0.000705116,-8.5805e-06,-0.000160977,-4.53561e-06,-2.97198e-05,-0.000939424,-0.00038936,-2.27252e-06,-9.26476e-05,-1.4751e-05,-0.000241205,-2.86875e-05,-1.65765e-05,-6.26019e-06,-0.0751337,-0.0941054,-0.00130804
LPL,-1.12189e-05,-0.00620413,-1.67058e-05,-0.000242104,-0.00227469,0.917947,0.0122752,0.0206377,-7.38543e-05,-0.00017257,-0.00891597,-0.0134644,-0.000876002,-3.80231e-05,-0.000260268,-0.000291402,-1.64383e-05,0.323324,-0.000100697,0.00445391,0.00763694,-0.00181846,-1.20853e-05,-0.000951619,0.146549,0.12191,0.127911,0.0498891,0.118342,-0.00612712,-0.000875528,0.0158879,0.00123556,0.00701287,-0.00880808,0.0104813,0.00801697,0.000234768,-0.00072447,0.00155525,0.150144,0.0498107,0.000666424,-0.00830833,0.00546257,0.000163498,0.00199212,-8.20528e-06,-0.000127537,0.00117505,-1.55054e-07,-0.0018813,0.0201399,0.0320376,0.0792094,0.103301,0.116185,0.168082,0.0338245,0.0204086,0.00836288,0.0638855,0.010991,-0.000567929,0.00697241,-0.000104448,-2.43567e-05,1.37626e-05,-6.06609e-05,-5.72334e-05,-0.000356067,-7.2087e-05,-0.000664491,-1.52822e-05,-0.00045822,-5.80969e-06,-7.04462e-05,-0.0018248,-0.000584791,-5.02617e-06,-0.000102048,-0.000155337,-0.000271316,-0.000109765,1.13033e-06,5.9946e-05,-0.0879167,-0.126211,0.0215001
MPL,-3.54274e-06,-0.00275316,-6.98301e-05,-0.00176823,-0.00621766,-0.0681905,0.972809,0.214549,-0.000212125,-0.000428651,-0.00247806,-0.002595,-0.000159666,-8.79857e-05,-0.000735491,-0.000738324,-0.00014335,0.0580346,-7.89483e-05,-0.000170606,-0.01173,0.129226,-0.00902825,-0.00151137,0.139093,-0.0113246,-0.0203565,0.0300186,0.010485,-0.0170335,-0.00326318,-0.00366733,0.0334149,0.005611,-0.00414744,0.0194752,-0.00028875,0.000830851,-0.000815139,-0.000678391,0.0864703,0.0522562,0.0324278,-0.00688094,0.00327623,2.62011e-05,0.00308713,-6.71038e-06,-0.000216173,-7.88756e-05,-5.70461e-08,0.00432997,0.125331,-5.81715e-06,0.00671469,0.176774,0.0679059,0.13126,0.0297276,0.0117437,0.032255,0.115729,0.0103109,-0.00131509,0.00549188,-0.000172436,-2.53969e-05,1.05231e-05,-4.78661e-05,1.22986e-06,-0.000239848,-0.000851748,-0.00456563,-2.88203e-05,-0.000610136,-5.66967e-06,-6.4205e-05,-0.00174661,-0.00108502,-1.73199e-05,-0.0017136,2.29211e-05,-0.00261516,-0.000163865,-0.000461557,-0.000106075,-0.0822782,-0.119244,0.014162
SPL,3.1478e-06,0.00142688,-1.67463e-06,0.000110733,-0.000497052,-0.0143319,-0.0970443,0.965803,-0.000100317,8.59376e-05,0.000225917,0.000554085,4.37971e-05,-0.000113355,-0.000772412,-8.43828e-05,-4.97375e-05,-0.014961,-1.9418e-05,-0.00302533,-0.0213515,-0.0174481,-0.0389351,-0.0022616,0.151342,-0.0045681,-0.0140574,-0.0325842,-0.00792542,-0.0401907,-0.0022489,-0.00408826,-0.00292338,-0.00609909,-0.000889112,-0.00398191,0.000934708,-0.000509247,-1.73943e-05,-0.000484528,-0.00272234,0.0161254,0.0078041,0.000112257,0.00143499,2.09201e-05,0.000673239,1.02138e-06,-4.32186e-05,-0.000233662,1.05644e-06,-0.00190846,-0.0550722,-0.000536955,-0.013323399999999999,0.663633,0.00585028,0.122378,0.0241369,-0.0317218,0.0155301,0.331722,0.000314447,-0.0129875,-0.00320602,-2.5849e-05,-8.20777e-06,7.17887e-06,4.66828e-05,-6.74429e-06,-0.000111042,-0.000172264,-0.00623934,-3.61166e-06,-3.2069e-05,-5.19908e-08,1.24501e-05,-0.00220227,-6.60237e-05,1.70516e-06,-0.000202933,2.47003e-05,0.000229659,7.91532e-05,5.29935e-05,2.59092e-05,-0.0413723,-0.116011,-0.046992
HAK,3.1574e-06,-0.000168689,3.95261e-07,1.14475e-05,-8.20046e-06,0.00149205,-0.000668636,-0.00354679,0.99888,-0.00192884,-0.00297023,0.000278441,-0.000272792,-6.7879e-05,5.28059e-05,-0.000383351,-9.61923e-05,-0.00660225,5.50536e-07,-0.016659,-0.0332444,-0.0219312,0.00138343,-0.000949849,-0.0295027,-0.00100115,-0.000269861,-0.0377633,4.65901e-05,-0.0379035,0.0007186,0.00415603,-0.000148946,0.00254196,-0.00102566,-0.00168761,-0.0145051,0.000226151,-0.00187495,-0.00193041,-0.0635078,0.000685595,0.000459029,0.011728,-0.000117935,-4.61581e-06,-8.09003e-05,8.31273e-06,2.95273e-05,-2.96974e-05,2.49251e-06,-0.00237217,0.758492,-0.00341485,-0.0182798,0.449098,0.471349,0.35777,0.0699641,0.126256,0.170516,0.366151,-0.00380391,-0.0375942,-0.0105947,3.01558e-05,-6.96008e-07,2.00237e-05,-7.10988e-05,6.63901e-06,-0.000822658,1.45305e-05,0.000192236,2.92894e-06,8.21473e-05,-1.94897e-06,7.3672e-06,0.00044068,9.97864e-05,2.48412e-06,0.000120243,4.19518e-05,0.00031813,0.000193727,6.17465e-05,3.16928e-05,-0.00447888,-0.138976,-0.181199
HAK1,1.46468e-07,0.000258266,-2.6763e-06,2.43419e-05,3.39383e-05,0.00227052,-0.00116263,-0.00125348,-0.00104458,0.997377,-0.00316024,-0.000848063,-0.00016116,-0.000158391,-0.00152366,-0.000550185,-0.000240494,-0.0101073,-0.000109279,-0.0172096,0.0964032,-0.0331216,-0.00115949,-0.00319082,0.0311928,-0.000428319,-0.00411347,-0.0197958,-0.00561089,0.046616199999999997,-0.00716259,0.000353283,-0.00248208,-0.0015089,0.0613631,-0.00426476,-0.0135094,-0.00079185,-0.00208678,-0.0027539,0.120799,0.0104797,-0.00284546,-0.00846451,0.00371628,0.000123104,0.00137348,-4.46158e-06,-4.53954e-05,-0.000279058,5.56599e-07,-0.00245738,0.804926,-0.000659849,0.000239419,-0.00376483,0.153501,0.179639,0.0388105,0.0925777,0.16112,0.149547,0.00486492,-0.00786688,0.00264759,2.61974e-05,-6.09954e-06,2.49567e-05,-9.80388e-05,1.31726e-05,-0.000953164,-0.000159048,-0.00202091,3.00258e-06,0.000109172,-3.48047e-06,3.66763e-05,-0.0262797,9.70158e-06,4.29827e-06,-0.00196214,0.000110878,-0.00255977,0.000236975,-0.000136308,-0.00175597,-0.075016,-0.136844,-0.00598145
