CUT1,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,SSHC1,SSSC1,SSSC2,Torpedomarmorata,DC,SPOM,BD
SB,0.0,0.0121837,0.0149158,0.00932267,0.0156868,0.015448,0.0183466,0.0349714,0.00876439,0.0160751,0.0142207,0.0140673,0.00888525,0.0106177,0.024309,0.0192369,0.0239073,0.0191,0.0182864,0.0217627,0.349772,0.0834083,0.122561,0.492435,0.019943,0.0217838,0.0186577,1.92755,1.12767,0.15405,0.0236633,0.0226437,0.0247111,0.0181143,0.0183218,0.10911,0.0168801,0.033662,0.0186231,0.0139772,0.0614901,0.0246936,0.0211833,0.0219023,0.027833,0.022966,0.0257338,0.0198737,0.0153385,0.0202173,0.0147401,0.0219264,0.0855568,0.0417545,0.0511009,0.128404,0.0409796,0.0160396,0.01923,0.0312883,0.0978969,0.0466639,0.0399518,0.0355139,0.0399333,0.0177049,0.0251954,0.0262526,0.0229989,0.0233024,0.0247883,0.0199528,0.0223263,0.145564,0.0262808,0.0408494
MM,-0.0121837,0.0,-0.000488672,-0.000107531,0.000219747,4.17205e-05,0.000145746,0.00278062,0.000334685,0.000329138,0.000467993,-7.06341e-05,-0.00295114,0.0007501,0.0019112,0.00169701,0.00219173,0.0220746,0.0407557,0.0170036,0.00499271,0.00709077,0.048101,0.00648876,0.0116211,0.000253133,0.0482175,0.00720283,0.00306838,0.00225154,0.00568925,0.00656573,0.139033,0.192502,0.00354389,0.00103333,0.00136747,0.00115276,-0.000173038,0.00038206,0.00133205,0.000811372,0.000469496,0.000720451,0.00043662,9.11012e-05,0.00385575,0.000448338,0.00013012,0.0006597,-0.00152704,0.00094267,0.00167904,0.000792597,0.00714701,0.00185943,0.000704931,0.000164497,0.000342781,0.000688045,0.00175326,0.00088259,0.00140176,0.00108553,0.00126689,-0.000808403,-0.00562117,-6.76985e-05,-0.00293693,0.000333438,0.0100149,0.00551544,-0.00065774,-0.000660804,0.000403143,0.00105937
TUR,-0.0149158,0.000488672,0.0,0.000242277,0.0008982,0.000670675,0.000912778,0.000885822,0.000524489,0.000806885,0.000528988,0.000472206,-0.00325654,0.000299579,0.000947488,0.000745947,0.000860318,0.00134214,0.000564861,0.00125434,0.00113719,0.00175904,0.0012351,0.00283654,0.000950912,0.00118361,0.000824471,0.000938082,0.000999385,0.000822552,0.000714385,0.000960368,0.0480231,0.000878366,0.000870498,0.00032659,6.72497e-05,0.119428,0.000326866,0.000508468,0.00286818,0.0123303,0.0285873,0.00678516,0.00587114,0.0112307,0.00658723,0.038682,3.33525,0.0035935,0.0635972,0.00161577,0.000904604,0.000791606,0.00043411,0.000669182,0.000438226,0.00010676,0.000903171,0.0013635,0.000892439,0.0014473,0.0086341,0.00433219,0.00750461,-0.00027956,-0.00587113,0.000970078,-0.00267306,0.00106744,0.00118846,0.00079404,-0.000191739,0.00560978,0.000613699,0.00422282
XIP,-0.00932267,0.000107531,-0.000242277,0.0,0.000306593,0.000168264,0.0721837,0.0139266,0.00146973,0.00111376,0.00156291,7.26236e-05,-0.00217972,0.000697905,0.000861864,0.00208343,0.0100926,0.00812629,0.000319952,0.0194759,0.00410876,0.00527874,0.00839575,0.00836726,0.0129387,0.000385949,0.00696513,0.0589519,0.0282893,0.000793764,0.0184059,0.00755241,0.143857,0.254359,0.0029071,0.00351238,0.0019681,0.000999689,0.000100837,0.000216241,0.00242881,0.00136157,0.000787011,0.000885959,0.000843948,0.000340332,0.00448049,0.000632895,0.000278313,0.000592533,-0.000851681,0.00151008,0.00275886,0.000506948,0.00277918,0.00350029,0.000988977,0.000279475,0.000673527,0.000853816,0.00296556,0.00125259,0.00182269,0.00133203,0.00164393,-0.00046231,-0.00407882,0.000179898,-0.00204429,0.000585806,0.0133588,0.00746405,-0.000178247,0.000453894,0.000578797,0.00141957
THU,-0.0156868,-0.000219747,-0.0008982,-0.000306593,0.0,-0.000224906,0.0258777,0.0141587,2.92334e-05,-8.00073e-06,-1.51202e-05,-0.000349295,-0.00395992,0.000403308,0.00220948,0.000558473,0.000862976,0.013001,-0.000339914,0.00951491,0.00183665,0.00127214,0.0728243,0.00738721,0.00580876,3.86288e-05,0.0334942,0.00433811,0.0038352,0.000118693,0.0011442,0.000275777,0.0026358,0.0507561,0.000878923,0.00012467,-0.000488292,-0.000433364,-0.000719247,-0.000184704,0.000324069,-0.00032545,5.67909e-05,5.80513e-05,-0.000407102,-0.000479976,-0.000653263,-0.000186814,-0.000234962,0.000167803,-0.00295375,4.42436e-05,0.00080817,7.81738e-05,0.000528484,0.000633591,6.47019e-05,-0.000187601,-7.4345e-05,0.000213717,0.000792112,0.000296683,0.000461275,0.000372126,0.00041813,-0.00136017,-0.00769182,-0.00056066,-0.00419618,-0.000221068,0.00236616,0.00109487,-0.00148513,-0.00270023,-0.000113954,0.00016923
LPL,-0.015448,-4.17205e-05,-0.000670675,-0.000168264,0.000224906,0.0,0.0473527,0.0265211,0.000188107,0.000220618,0.000184341,-0.00014314,-0.00377225,0.000131525,0.000496138,0.000777118,0.00104143,0.12942,-0.000270902,0.0095446,0.00210389,0.00145387,0.0096051,0.000610047,0.0103905,0.0650343,0.104493,0.00927455,0.024909,0.000797621,0.00128258,0.00629646,0.00947107,0.0141075,0.00112797,0.00236206,0.000498378,-0.000227668,-0.0003661,0.00297576,0.00156874,0.000764453,0.000512873,0.00045377,0.000138432,7.3493e-05,1.9098e-05,8.86802e-05,7.20374e-06,0.00202509,-0.00264168,0.000369342,0.00186858,0.00965728,0.00435737,0.00196983,0.000839727,0.000123135,0.000315975,0.000707248,0.00192882,0.000906618,0.00136823,0.00104173,0.0011833,-0.00108562,-0.00721349,-0.000175733,-0.00380256,7.41359e-05,0.000834183,0.000327315,-0.00118568,-0.000934629,0.00034721,0.000949552
MPL,-0.0183466,-0.000145746,-0.000912778,-0.0721837,-0.0258777,-0.0473527,0.0,0.212464,5.51992e-05,5.47125e-05,-0.000101983,-0.000279894,-0.00455013,-0.000216603,-2.00608e-05,0.000110797,0.000120224,0.0327588,-0.000436759,0.00414193,0.0010859,0.0228501,0.00126913,0.00279063,0.00984212,0.000122794,0.000256697,0.00686461,0.0045842,0.000217522,0.00155408,0.0033282,0.0395772,0.009761,0.000421223,0.00411449,-0.000291819,0.000182416,-0.000617903,0.000367631,0.00109794,0.000798008,0.00287364,0.000396669,-9.4e-05,-0.000340116,0.000594971,2.51817e-05,-0.000101789,0.000619626,-0.00315861,0.00127018,0.00581088,0.00115836,0.00100266,0.0028731,0.0005908,-1.62737e-05,0.000206431,0.000633702,0.00455779,0.00100805,0.00130955,0.000944371,0.00107743,-0.00142742,-0.00876339,-0.000415317,-0.00469533,-0.0108957,-9.9202e-05,-0.000780759,-0.022898,-0.00223113,0.000218231,0.000774448
SPL,-0.0349714,-0.00278062,-0.000885822,-0.0139266,-0.0141587,-0.0265211,-0.212464,0.0,-4.04949e-05,-8.06906e-05,-0.000285758,-0.000387405,-0.00493197,-0.000336539,-0.000231104,-0.000304717,-0.000389912,-0.000291867,-0.000559994,2.86638e-05,-0.000124768,-0.000158506,-0.0956572,-0.000264829,0.0105177,-2.44803e-05,-0.000138079,-2.44605e-07,-0.000163466,2.27629e-05,-0.000251453,-0.000301328,-0.000548513,-0.00262117,-3.76466e-05,-0.00049877,-0.000807492,-0.000676546,-0.00060557,-0.000506379,0.000224154,-0.00022976,0.000927241,7.30044e-05,-0.000441799,-0.000501439,-0.000678355,-0.000183106,-0.000206854,1.70686e-05,-0.00293276,-0.000111753,0.000320683,0.000988295,6.03132e-05,0.00847485,0.000392522,-8.28618e-06,-6.76873e-05,0.000467331,0.00330053,0.00151248,0.000471096,0.000511455,0.00048893,-0.00479657,-0.00766334,-0.00339703,-0.00454742,-0.0180024,-0.00107867,-0.00171887,-0.00528845,-0.00297522,0.000223595,0.000238363
HAK,-0.00876439,-0.000334685,-0.000524489,-0.00146973,-2.92334e-05,-0.000188107,-5.51992e-05,4.04949e-05,0.0,-4.2457e-05,-0.0153464,-0.000363014,-0.325856,-0.000311383,-0.000125397,-8.22628e-05,-0.000219131,-1.02312e-05,-0.000229466,-0.0129792,-7.97506e-05,-8.8085e-05,-0.00106734,-6.4099e-05,-0.000134192,2.59464e-05,-0.000127679,9.29977e-05,-5.90052e-05,7.36471e-05,-8.98104e-05,-1.75851e-05,-0.000164479,-0.00060215,-4.53942e-05,-0.000102251,-5.1588e-05,-8.27771e-05,-4.14869e-05,-0.000136974,-0.000118419,-0.000108815,-2.39951e-05,-2.04428e-05,-0.00012904,-0.000127501,-0.000146361,-0.000344331,-0.000136025,5.8879e-05,-0.00352161,-0.000124872,0.0295861,2.73249e-05,3.77161e-05,0.00703665,0.0025235,0.000579441,-0.000294161,0.0011354099999999999,0.0200356,0.00207816,0.000245423,0.000645404,0.000496904,-0.00161374,-0.00266014,-0.000212993,-0.00149996,-0.00014428,-7.91156e-05,-0.00135629,-0.00131306,-7.75126e-05,0.000770332,6.72466e-05
HAK1,-0.0160751,-0.000329138,-0.000806885,-0.00111376,8.00073e-06,-0.000220618,-5.47125e-05,8.06906e-05,4.2457e-05,0.0,-0.00991675,-0.000433434,-0.212066,-0.00026264,-0.000125338,-0.00025749,-0.000337991,-0.000146871,-0.000464168,-0.0106742,0.013018,0.000319845,-0.00104692,-0.000154426,0.00346281,0.00010079,-8.04138e-05,8.5549e-05,-8.39722e-05,0.00233292,0.000100319,-0.000185481,-0.000152881,-0.000517735,0.00491975,-4.5765e-05,-0.000633591,-0.000450737,-0.000599824,-0.000406587,0.00132481,-0.000396575,0.000133485,0.000244385,-0.000195689,-0.000281284,-0.000612382,-7.39274e-05,-0.000111058,0.000217255,-0.00290596,0.000314378,0.0301893,0.000554852,0.000611372,0.00148689,0.00109557,0.000152121,0.00024273,0.000872541,0.0183432,0.0012679,0.000988809,0.000945617,0.00100978,-0.00292624,-0.00767786,-0.0338172,-0.00429818,-0.017431,-0.000986349,-0.00257745,-0.0488736,-0.00249022,0.000345265,0.0008393
