CUT3,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Etmopterusspinax,Galeusmelastomus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajamiraletus,Rajapolystigma,SSHC1,SSSC1,Scyliorhinuscanicula,Torpedomarmorata,Torpedotorpedo,DC,SPOM,BD
SB,0.0,0.0121854,0.014918,0.00932404,0.0156891,0.0154503,0.0183456,0.0349613,0.0087654,0.0160323,0.0141564,0.0140143,0.00888649,0.0106363,0.024324,0.0192341,0.0238958,0.0190855,0.0182842,0.0217567,0.349832,0.0834104,0.122571,0.492449,0.0199431,0.021787,0.0186601,1.92783,1.12784,0.154072,0.0236548,0.0226412,0.0247693,0.018105,0.0183242,0.109125,0.0168809,0.0336956,0.0186256,0.0139729,0.0614995,0.024699,0.0211865,0.0219056,0.0278371,0.0229693,0.0257381,0.0198765,0.0153408,0.0202201,0.0147425,0.0219288,0.08557,0.0417606,0.051108,0.128423,0.0409856,0.0160419,0.0192329,0.031293,0.0979117,0.0466707,0.0399579,0.0355192,0.0399395,0.0209579,0.0148037,0.0177065,0.0176319,0.0257052,0.0251977,0.0244734,0.0230013,0.0265578,0.028299,0.00950898,0.0219082,0.0201256,0.0251909,0.0223318,0.0242981,0.145583,0.0262847,0.0408555
MM,-0.0121854,0.0,-0.000488711,-0.000107519,0.000219841,4.17947e-05,0.000145706,0.00278104,0.000334853,0.000328508,0.000467068,-7.15184e-05,-0.00295159,0.000751133,0.00191232,0.00169764,0.0021924,0.0220814,0.0407688,0.0170105,0.00499479,0.00709329,0.0481163,0.00648876,0.0116248,0.000253266,0.0482331,0.00720517,0.00306936,0.00225229,0.00569106,0.0065696,0.13908,0.192563,0.003545,0.00103371,0.00136809,0.00115353,-0.000173025,0.000382138,0.00133261,0.00081178,0.000469699,0.000720738,0.000436873,9.12003e-05,0.0038571,0.000448566,0.000130227,0.000659953,-0.00152697,0.000943048,0.00167941,0.000792885,0.00714934,0.00186004,0.00070519,0.000164609,0.000342968,0.000688271,0.00175372,0.000882876,0.00140225,0.00108589,0.00126732,-0.00197425,0.00117739,-0.000809328,0.0091706,0.0098333,-0.00562302,-9.89013e-05,-0.00293807,-0.00192834,-6.31029e-05,-0.0163492,0.000245297,0.00556636,0.000381866,-0.000657014,-0.000909808,-0.000662218,0.000403334,0.00105979
TUR,-0.014918,0.000488711,0.0,0.000242321,0.00089837,0.000670818,0.000912727,0.000885028,0.000524589,0.00080419,0.000524884,0.0004688,-0.00325707,0.00030074,0.000948399,0.000745725,0.000859529,0.0013413,0.00056465,0.00125401,0.00113795,0.00175873,0.00123484,0.00283339,0.000950935,0.00118385,0.00082462,0.000938218,0.000999375,0.000822677,0.000713773,0.00096019,0.0480352,0.000877533,0.000870663,0.000326623,6.71107e-05,0.119452,0.000326865,0.00050817,0.00286874,0.0123326,0.0285924,0.0067864,0.0058722,0.0112326,0.00658833,0.038689,3.33585,0.00359415,0.0636088,0.00161603,0.000904823,0.000791767,0.000434186,0.000669295,0.000438323,0.000106811,0.000903368,0.00136374,0.000892616,0.00144755,0.00863565,0.00433297,0.00750596,-0.00157642,-0.00431204,-0.00028068,-0.00148878,0.00124334,-0.00587338,0.000860455,-0.00267443,-0.00129563,0.00105771,-0.019634,0.000934997,0.000789227,0.00115579,-0.000191588,-0.000479456,0.00560868,0.000613839,0.00422361
XIP,-0.00932404,0.000107519,-0.000242321,0.0,0.000306652,0.000168307,0.0721949,0.0139282,0.00147,0.001113,0.00156178,7.15188e-05,-0.00218008,0.000698936,0.000862556,0.00208379,0.010094,0.00812718,0.000319883,0.0194809,0.00410995,0.00527984,0.0083967,0.00836583,0.0129407,0.000386033,0.00696625,0.0589612,0.0282937,0.000793874,0.0184087,0.00755583,0.143883,0.254399,0.00290747,0.00351289,0.00196851,0.00100019,0.000100814,0.000216118,0.0024293,0.00136184,0.000787158,0.000886132,0.000844108,0.000340373,0.0044812,0.000633023,0.000278375,0.000592642,-0.000851683,0.00151036,0.00275906,0.000507028,0.00277962,0.00350083,0.000989138,0.000279534,0.000673672,0.000853956,0.00296588,0.00125279,0.00182302,0.00133226,0.00164423,-0.00132573,0.00391137,-0.000463046,0.013263,0.0131167,-0.00408028,0.000140266,-0.0020452,-0.00124119,0.000201413,-0.0124261,0.000491695,0.00753689,0.000660575,-0.000177338,-0.000327446,0.000452711,0.000578908,0.00141984
THU,-0.0156891,-0.000219841,-0.00089837,-0.000306652,0.0,-0.000224931,0.0258799,0.0141597,2.92484e-05,-8.27112e-06,-1.55412e-05,-0.000349682,-0.00396058,0.000403535,0.00220977,0.000558469,0.00086294,0.013002,-0.000340043,0.00951607,0.00183693,0.00127228,0.0728304,0.00738717,0.00580923,3.86408e-05,0.033497,0.00433848,0.00383551,0.000118703,0.00114424,0.000276214,0.00263669,0.0507601,0.000878981,0.000124621,-0.000488446,-0.000433395,-0.00071945,-0.000184811,0.000324118,-0.00032556,5.68052e-05,5.80681e-05,-0.00040719,-0.000480105,-0.000653523,-0.000186815,-0.00023499,0.000167825,-0.00295404,4.4255e-05,0.000808195,7.81851e-05,0.000528532,0.000633646,6.47131e-05,-0.000187611,-7.43417e-05,0.000213737,0.00079215,0.000296709,0.000461324,0.000372162,0.000418173,-0.00292001,-0.00405438,-0.00136148,0.000274061,0.00231601,-0.0076944,-0.00056887,-0.00419783,-0.00296194,-0.000591797,-0.0212216,-0.000283261,0.00109501,-0.000231866,-0.00148517,-0.00189396,-0.00270286,-0.000113958,0.000169255
LPL,-0.0154503,-4.17947e-05,-0.000670818,-0.000168307,0.000224931,0.0,0.0473576,0.0265235,0.000188134,0.000219718,0.000182977,-0.000144314,-0.00377289,0.000131909,0.00049643,0.000777054,0.0010412,0.129433,-0.000271086,0.00954553,0.00210431,0.00145384,0.00960592,0.000608824,0.0103915,0.0650411,0.104504,0.00927552,0.0249115,0.0007977,0.00128247,0.00629712,0.00947328,0.0141085,0.00112808,0.00236226,0.000498288,-0.000227215,-0.000366263,0.00297591,0.00156893,0.000764489,0.00051294,0.000453831,0.000138404,7.34257e-05,1.89185e-05,8.87087e-05,7.20256e-06,0.00202531,-0.00264193,0.000369375,0.00186879,0.00965831,0.00435783,0.00197004,0.000839824,0.00012316,0.000316021,0.000707322,0.00192902,0.000906713,0.00136838,0.00104184,0.00118343,-0.00257509,-0.00475404,-0.0010869,-0.00153632,0.000835259,-0.00721602,-0.000209341,-0.00380416,-0.00253609,-0.000177072,-0.0207622,-2.27791e-06,0.000318815,8.34249e-05,-0.00118579,-0.00156895,-0.000937056,0.000347257,0.000949665
MPL,-0.0183456,-0.000145706,-0.000912727,-0.0721949,-0.0258799,-0.0473576,0.0,0.212484,5.52563e-05,5.40214e-05,-0.00010303,-0.000280767,-0.0045499,-0.000216216,-1.97787e-05,0.000110797,0.000120101,0.0327616,-0.000436788,0.00414232,0.00108624,0.0228522,0.0012692,0.00278995,0.00984308,0.000122866,0.000256789,0.00686529,0.00458466,0.000217588,0.00155413,0.00332861,0.039582,0.0097617,0.000421323,0.00411497,-0.000291792,0.00018299,-0.000617897,0.00036766,0.00109814,0.000798213,0.00287397,0.000396761,-9.38971e-05,-0.000340079,0.000595063,2.52907e-05,-0.000101722,0.000619733,-0.00315818,0.00127036,0.00581145,0.00115853,0.00100281,0.00287339,0.000590904,-1.61968e-05,0.000206531,0.000633762,0.00455822,0.00100815,0.00130967,0.000944462,0.00107753,-0.00322092,-0.0136009,-0.00142864,-0.0046186,-0.000103964,-0.00876455,-0.000442893,-0.00469622,-0.00321822,-0.000430683,-0.024727,-0.0153784,-0.000774209,-0.00634539,-0.022901,-0.0293458,-0.00223331,0.00021833,0.000774602
SPL,-0.0349613,-0.00278104,-0.000885028,-0.0139282,-0.0141597,-0.0265235,-0.212484,0.0,-4.03179e-05,-8.08625e-05,-0.000285981,-0.000387502,-0.00492874,-0.000335957,-0.000230643,-0.000304318,-0.000389458,-0.000291656,-0.000559472,2.88318e-05,-0.000124388,-0.000158305,-0.0956708,-0.000264946,0.0105184,-2.42803e-05,-0.000137822,-1.08697e-07,-0.000163217,2.29487e-05,-0.000251178,-0.000300928,-0.000547766,-0.00262275,-3.74091e-05,-0.000498221,-0.000806788,-0.000675599,-0.000604864,-0.000505911,0.000224471,-0.000229043,0.00092747,7.31787e-05,-0.000441204,-0.000500898,-0.000677536,-0.000182757,-0.000206544,1.72359e-05,-0.00293003,-0.000111487,0.000320786,0.000988516,6.05026e-05,0.00847522,0.000392697,-8.01273e-06,-6.74114e-05,0.000467347,0.00330065,0.00151253,0.000471114,0.000511474,0.000488949,-0.00291184,-0.0171887,-0.00486664,-0.00607256,-0.0010351,-0.00765829,-0.00614366,-0.00455256,-0.00291746,-0.000633455,-0.0212582,-0.0307876,-0.00163899,-0.0013798,-0.00528759,-0.00678573,-0.00297454,0.000223875,0.00023865
HAK,-0.0087654,-0.000334853,-0.000524589,-0.00147,-2.92484e-05,-0.000188134,-5.52563e-05,4.03179e-05,0.0,-4.29977e-05,-0.0153493,-0.00036374,-0.32591,-0.000311229,-0.000125292,-8.23642e-05,-0.000219365,-1.04491e-05,-0.000229584,-0.0129807,-7.96598e-05,-8.82147e-05,-0.0010676,-6.48074e-05,-0.000134236,2.59496e-05,-0.000127694,9.29956e-05,-5.90512e-05,7.36443e-05,-8.99751e-05,-1.76761e-05,-0.000163854,-0.000603082,-4.54015e-05,-0.000102283,-5.16392e-05,-8.2472e-05,-4.15295e-05,-0.000137075,-0.000118423,-0.000108835,-2.39925e-05,-2.04393e-05,-0.000129075,-0.000127553,-0.000146419,-0.000344342,-0.000136047,5.88817e-05,-0.0035219,-0.000124891,0.0295873,2.73281e-05,3.7715e-05,0.00703694,0.0025236,0.000579464,-0.000294178,0.00113546,0.0200365,0.00207825,0.000245435,0.000645432,0.000496927,-0.00159404,-0.00531305,-0.001621,-0.00192388,-8.34136e-05,-0.00266098,-0.000450871,-0.00150116,-0.000841556,1.89313e-05,-0.00872868,-0.000122438,-0.00151567,-0.000268598,-0.00131323,-0.00354528,-7.76954e-05,0.000770363,6.72443e-05
HAK1,-0.0160323,-0.000328508,-0.00080419,-0.001113,8.27112e-06,-0.000219718,-5.40214e-05,8.08625e-05,4.29977e-05,0.0,-0.00991792,-0.000433049,-0.21209,-0.000260979,-0.000123988,-0.000256071,-0.000336283,-0.000146006,-0.000462325,-0.0106746,0.0130199,0.000320615,-0.00104593,-0.000154057,0.00346387,0.000101402,-7.96153e-05,8.59688e-05,-8.31604e-05,0.00233364,0.000101363,-0.000184111,-0.000151085,-0.000517923,0.00492079,-4.39132e-05,-0.000631067,-0.000447854,-0.000597324,-0.000404936,0.00132584,-0.000394173,0.000134086,0.000244915,-0.000193693,-0.000279392,-0.000609369,-7.28626e-05,-0.000110064,0.000217772,-0.00289732,0.00031523,0.0301914,0.000555449,0.000611979,0.00148722,0.00109612,0.000152964,0.000243593,0.000872596,0.0183444,0.00126798,0.000988875,0.000945678,0.00100985,-0.00290869,-0.0203052,-0.00371251,-0.00681128,-0.00106745,-0.0076579,-0.0664487,-0.00437765,-0.00281787,-0.000385447,-0.0216,-0.0165863,-0.00279838,-0.0142509,-0.048876,-0.527223,-0.002483,0.000346118,0.000840203
