ESSESH,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PL,PB,MB,BB,PS,SG,DF,MA,ESH,ESS,DC,SPOM,BD
SB,0.0,0.0121818,0.0149135,0.00932109,0.0156843,0.0154455,0.0183547,0.0349816,0.00876343,0.016058,0.0141985,0.0140652,0.00890882,0.0106312,0.0242863,0.0192411,0.023873,0.0190939,0.0182678,0.0217826,0.349741,0.0834178,0.12256,0.492461,0.0199317,0.0217803,0.0186548,1.92729,1.12752,0.154032,0.0237038,0.0226234,0.0247799,0.0181056,0.0183163,0.109076,0.0168764,0.0336275,0.0186204,0.0139725,0.0614824,0.0246814,0.0211786,0.0218989,0.0278282,0.0229625,0.0257323,0.0198712,0.0153361,0.020214,0.014738,0.0219255,0.0855423,0.0417493,0.0510936,0.128387,0.0409741,0.0466576,0.0160374,0.0399459,0.0192276,0.0312841,0.0355087,0.0978827,0.0399274,0.0251457,0.021748,0.14554,0.0262773,0.0408435
MM,-0.0121818,0.0,-0.000488598,-0.000107604,0.000219662,4.16777e-05,0.000145085,0.00277829,0.000334573,0.000329584,0.000472783,-6.64637e-05,-0.00286308,0.000748848,0.00191024,0.00169649,0.00219301,0.0220606,0.0407278,0.0170035,0.00498912,0.00708315,0.0480759,0.00647944,0.0116065,0.000253045,0.0481838,0.00719786,0.00306616,0.00224983,0.00568964,0.00652932,0.138932,0.192369,0.00353788,0.00103655,0.00136218,0.00115466,-0.000171996,0.000381804,0.0013309,0.000816924,0.000469862,0.000720573,0.000436777,9.12672e-05,0.00385244,0.000447953,0.000130016,0.000659302,-0.00152733,0.000941788,0.00167399,0.000791967,0.00714153,0.00185784,0.000704207,0.000881867,0.000164198,0.00140147,0.000342356,0.000687518,0.001085,0.00174971,0.00126648,8.18317e-05,0.00629398,-0.000658177,0.000402671,0.00105863
TUR,-0.0149135,0.000488598,0.0,0.000242126,0.000897998,0.000670526,0.000913289,0.000886609,0.000524401,0.000805792,0.000527612,0.000472116,-0.00325436,0.000300466,0.000946095,0.000746268,0.000858211,0.00134169,0.000563767,0.00125558,0.00113792,0.00176004,0.00123591,0.0028419,0.000950194,0.00118337,0.000824292,0.000937912,0.000999188,0.000822508,0.000717024,0.000959108,0.0480201,0.000877868,0.000870143,0.00032533,6.72124e-05,0.119408,0.000326869,0.000508212,0.00286774,0.0123278,0.0285826,0.00678404,0.00587015,0.0112289,0.00658643,0.0386759,3.33473,0.00359288,0.063587,0.00161562,0.000904321,0.00079148,0.000433991,0.000669067,0.000438132,0.00144706,0.000106719,0.0086327,0.000903015,0.00136328,0.00433148,0.000892219,0.00750338,0.00101389,0.000982015,0.00561049,0.000613579,0.00422211
XIP,-0.00932109,0.000107604,-0.000242126,0.0,0.00030662,0.000168323,0.0721543,0.0139206,0.00146939,0.00111434,0.00156925,7.82243e-05,-0.00206363,0.000696858,0.00086223,0.0020837,0.0100926,0.00812505,0.000320869,0.0194839,0.00410711,0.00527321,0.00840369,0.00835761,0.0129251,0.00038601,0.00696248,0.0589286,0.0282781,0.000793346,0.0184045,0.00750761,0.143795,0.254259,0.00290139,0.00351651,0.00196197,0.00100328,0.000102379,0.000216439,0.00242771,0.00136947,0.000787711,0.000886515,0.000844523,0.00034078,0.00447831,0.000632718,0.00027834,0.000592462,-0.000851766,0.00150931,0.00275268,0.000506733,0.00277752,0.00349855,0.000988355,0.00125195,0.000279251,0.00182287,0.000673147,0.000853415,0.00133181,0.00296131,0.00164391,0.000327821,0.00845823,0.000457187,0.000578446,0.00141914
THU,-0.0156843,-0.000219662,-0.000897998,-0.00030662,0.0,-0.000224853,0.0258728,0.014156,2.92624e-05,-7.83642e-06,-1.37613e-05,-0.000348098,-0.00393594,0.000403099,0.00220917,0.000558614,0.00086358,0.012999,-0.000339652,0.00951633,0.00183632,0.00127124,0.0728132,0.00738474,0.00580596,3.86481e-05,0.033488,0.00433732,0.00383448,0.000118638,0.00114524,0.000267305,0.00263449,0.0507471,0.000877827,0.000125726,-0.000489213,-0.000432486,-0.000718733,-0.000184611,0.000323965,-0.000323673,5.69645e-05,5.82073e-05,-0.000406834,-0.000479739,-0.000653102,-0.000186794,-0.000234902,0.00016779,-0.00295341,4.41878e-05,0.000806984,7.81422e-05,0.000528259,0.000633397,6.46299e-05,0.0002966,-0.000187606,0.000461371,-7.43716e-05,0.000213666,0.000372119,0.000791347,0.000418178,-0.000427312,0.0013664,-0.00269732,-0.000113975,0.000169206
LPL,-0.0154455,-4.16777e-05,-0.000670526,-0.000168323,0.000224853,0.0,0.0473473,0.0265182,0.000188095,0.000220352,0.000184323,-0.000142793,-0.00376467,0.000131772,0.000495753,0.000777256,0.00104096,0.129405,-0.000271073,0.0095448,0.00210393,0.0014539,0.00960494,0.00061142,0.0103886,0.0650267,0.104481,0.00927346,0.024906,0.000797546,0.00128361,0.0062931,0.00947111,0.0141059,0.00112752,0.00236175,0.000498109,-0.000227906,-0.00036586,0.00297541,0.00156856,0.000764739,0.000512825,0.000453749,0.000138492,7.35749e-05,1.92908e-05,8.86604e-05,7.20846e-06,0.00202485,-0.00264138,0.000369323,0.00186802,0.00965615,0.00435681,0.00196958,0.000839606,0.000906502,0.000123108,0.00136811,0.000315928,0.000707159,0.00104162,0.0019284,0.00118318,-7.48755e-05,0.000491405,-0.000932381,0.000347156,0.000949433
MPL,-0.0183547,-0.000145085,-0.000913289,-0.0721543,-0.0258728,-0.0473473,0.0,0.212443,5.50674e-05,5.43448e-05,-0.00010226,-0.000279871,-0.00454672,-0.000216707,-2.06198e-05,0.000110601,0.000119436,0.0327553,-0.000437353,0.00414231,0.00108579,0.0228478,0.00126943,0.00279128,0.00984045,0.000122627,0.000256469,0.00686381,0.00458352,0.000217376,0.00155459,0.00332564,0.0395739,0.0097624,0.000420771,0.00411356,-0.000292543,0.000181557,-0.000618297,0.000367164,0.0010976,0.000797603,0.00287321,0.000396524,-9.44169e-05,-0.00034047,0.000594351,2.49097e-05,-0.000102017,0.000619432,-0.00316043,0.00126987,0.00580991,0.00115811,0.00100239,0.00287274,0.000590605,0.00100794,-1.64842e-05,0.00130944,0.000206197,0.000633634,0.00094428,0.00455719,0.00107733,-0.00438708,1.14686e-05,-0.00223078,0.000217997,0.000774156
SPL,-0.0349816,-0.00277829,-0.000886609,-0.0139206,-0.014156,-0.0265182,-0.212443,0.0,-4.06676e-05,-8.1023e-05,-0.000286234,-0.000387703,-0.00493424,-0.000336843,-0.000231628,-0.000305103,-0.000390748,-0.00029218,-0.000560685,2.86795e-05,-0.000124944,-0.000158611,-0.095645,-0.000264422,0.0105171,-2.46793e-05,-0.000138335,-3.84009e-07,-0.000163739,2.25905e-05,-0.000251421,-0.000301926,-0.000548181,-0.0026148,-3.79079e-05,-0.000499476,-0.000808217,-0.000677498,-0.000606276,-0.000506919,0.000223855,-0.000230526,0.000927007,7.28315e-05,-0.000442394,-0.000501984,-0.000679153,-0.000183446,-0.000207162,1.68996e-05,-0.00293543,-0.000112001,0.000320566,0.000988087,6.01217e-05,0.00847452,0.000392351,0.00151243,-8.55144e-06,0.000471076,-6.79544e-05,0.000467316,0.000511436,0.00330042,0.00048891,-0.00875602,-0.000789515,-0.00297612,0.000223322,0.000238082
HAK,-0.00876343,-0.000334573,-0.000524401,-0.00146939,-2.92624e-05,-0.000188095,-5.50674e-05,4.06676e-05,0.0,-4.26319e-05,-0.0153447,-0.000362958,-0.325798,-0.000311161,-0.0001256,-8.21514e-05,-0.000219451,-1.02717e-05,-0.000229605,-0.0129775,-7.95664e-05,-8.78312e-05,-0.00106699,-6.29903e-05,-0.000134284,2.5938e-05,-0.000127675,9.29903e-05,-5.90032e-05,7.36625e-05,-8.9276e-05,-1.77714e-05,-0.000163597,-0.000601495,-4.54273e-05,-0.000102454,-5.15729e-05,-8.30988e-05,-4.14498e-05,-0.000136982,-0.000118404,-0.000108884,-2.40178e-05,-2.04509e-05,-0.000129017,-0.000127462,-0.000146277,-0.000344321,-0.00013601,5.88684e-05,-0.00352134,-0.000124839,0.0295846,2.73256e-05,3.77076e-05,0.00703639,0.0025234,0.00207808,0.000579423,0.000245406,-0.000294142,0.00113537,0.000645375,0.0200349,0.000496878,-0.000180408,-0.000510845,-7.74004e-05,0.000770307,6.72453e-05
HAK1,-0.016058,-0.000329584,-0.000805792,-0.00111434,7.83642e-06,-0.000220352,-5.43448e-05,8.1023e-05,4.26319e-05,0.0,-0.0099154,-0.000433001,-0.212025,-0.000261897,-0.000125181,-0.000256802,-0.000337693,-0.000146579,-0.000463631,-0.0106725,0.0130178,0.000320427,-0.00104612,-0.000152665,0.00346279,0.000100974,-8.01461e-05,8.56784e-05,-8.3682e-05,0.002333,0.000101344,-0.000185192,-0.000151473,-0.000519553,0.00491968,-4.53431e-05,-0.00063252,-0.000450141,-0.000598753,-0.000405943,0.00132506,-0.000395736,0.000133642,0.000244529,-0.000194935,-0.000280517,-0.000611007,-7.35765e-05,-0.000110705,0.000217398,-0.00290275,0.000314671,0.0301872,0.000555007,0.000611517,0.00148688,0.00109566,0.00126783,0.000152389,0.000988745,0.000243,0.000872491,0.000945558,0.0183422,0.00100972,-0.0268992,-0.00170242,-0.0024846,0.000345521,0.000839529
