SHKRAY,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,RAY,SHK,DC,SPOM,BD
SB,0.0,0.0121821,0.0149137,0.00932136,0.0156845,0.0154458,0.0183364,0.0349542,0.00876358,0.0160523,0.0141937,0.0140315,0.00898354,0.0105962,0.0242244,0.0192233,0.0238948,0.0190903,0.0182786,0.0217975,0.349716,0.0833751,0.122545,0.492306,0.019936,0.0217806,0.018655,1.9273,1.12753,0.154029,0.0236476,0.0226405,0.0246585,0.0181102,0.0183176,0.109085,0.0168785,0.0336316,0.0186217,0.0139733,0.0614819,0.0246889,0.0211789,0.0218987,0.0278285,0.0229621,0.0257274,0.0198704,0.0153362,0.0202142,0.0147374,0.0219215,0.0855484,0.0417486,0.0510938,0.128387,0.040974,0.0160374,0.0192273,0.0312839,0.0978824,0.0466574,0.0399459,0.0355087,0.0399274,0.0259242,0.0223979,0.145545,0.026277,0.0408433
MM,-0.0121821,0.0,-0.000488707,-0.000107565,0.000219578,4.15825e-05,0.000159695,0.0028011,0.000333999,0.000351082,0.000499818,-1.89506e-05,-0.00294877,0.000787517,0.00200808,0.00171338,0.00219084,0.0220656,0.040721,0.0169609,0.00500879,0.00711543,0.0480789,0.00660408,0.0115975,0.000252906,0.0481762,0.00719788,0.00306939,0.00225198,0.00572696,0.00647386,0.13901,0.192338,0.00353251,0.00104338,0.00135338,0.00117743,-0.000173432,0.000383136,0.00132974,0.000811802,0.000470411,0.000720614,0.000436425,9.18264e-05,0.00385606,0.000448617,0.000129989,0.000659163,-0.00152691,0.000944449,0.00167088,0.000792354,0.00713995,0.00185773,0.000704052,0.000164218,0.000342132,0.000687425,0.00174778,0.000881723,0.0014008,0.00108469,0.00126607,-6.97877e-05,0.00292362,-0.000659431,0.000402746,0.00105821
TUR,-0.0149137,0.000488707,0.0,0.00024226,0.000898029,0.000670543,0.000912131,0.000884869,0.000524409,0.000805429,0.000527312,0.000469994,-0.00324959,0.000298154,0.000942179,0.000745136,0.000859579,0.00134146,0.000564443,0.00125652,0.00113632,0.00175732,0.0012349,0.00283198,0.000950463,0.00118339,0.000824298,0.000937864,0.000999031,0.000822316,0.000713444,0.000960202,0.0480123,0.000878374,0.000870222,0.000325863,6.7344e-05,0.119408,0.00032695,0.000508253,0.0028677,0.0123283,0.0285826,0.00678403,0.00587016,0.0112289,0.00658612,0.0386758,3.33473,0.00359289,0.0635869,0.00161536,0.00090424,0.000791434,0.000433994,0.00066903,0.000438104,0.000106802,0.000902997,0.00136326,0.000892179,0.00144704,0.00863269,0.00433147,0.00750338,0.000954562,0.00105038,0.00561079,0.000613533,0.00422209
XIP,-0.00932136,0.000107565,-0.00024226,0.0,0.000306506,0.000168201,0.0721624,0.0139492,0.00146849,0.00114266,0.00160486,0.000141059,-0.00217699,0.0007481,0.000991899,0.00210611,0.0100886,0.0081351,0.000320363,0.0194281,0.00413359,0.00531663,0.00841655,0.00852266,0.0129138,0.000385835,0.00696145,0.0589209,0.0282786,0.000796556,0.0184522,0.00743454,0.143905,0.25422,0.00289461,0.00352524,0.00195039,0.00103351,0.000100494,0.000218291,0.0024261,0.00136272,0.000788426,0.000886596,0.000844071,0.000341535,0.00448329,0.000633619,0.000278314,0.000592336,-0.000851172,0.00151282,0.00274855,0.000507348,0.00277652,0.00349826,0.000988164,0.00027925,0.000672838,0.000853304,0.00295866,0.00125175,0.001822,0.00133141,0.00164338,0.000175506,0.00399166,0.000455533,0.000578572,0.00141861
THU,-0.0156845,-0.000219578,-0.000898029,-0.000306506,0.0,-0.000224867,0.0258753,0.0141614,2.91187e-05,-2.13866e-06,-6.58872e-06,-0.000335543,-0.00395849,0.000413291,0.00223496,0.000563093,0.000863065,0.0130006,-0.000339735,0.00950527,0.0018416,0.00127996,0.0728121,0.00741741,0.00580377,3.86159e-05,0.0334862,0.0043374,0.00383526,0.000119288,0.00115522,0.000252882,0.00266062,0.0507447,0.000876506,0.00012757,-0.00049148,-0.000426394,-0.0007191,-0.000184245,0.000323689,-0.000324987,5.71228e-05,5.82415e-05,-0.000406903,-0.000479576,-0.000651973,-0.000186599,-0.000234899,0.000167769,-0.00295328,4.49182e-05,0.000806225,7.82689e-05,0.00052811,0.00063341,6.45978e-05,-0.000187521,-7.44176e-05,0.000213658,0.000790866,0.000296583,0.000461229,0.000372061,0.000418101,-0.000557127,0.000497496,-0.00269755,-0.00011396,0.000169123
LPL,-0.0154458,-4.15825e-05,-0.000670543,-0.000168201,0.000224867,0.0,0.0473474,0.026519,0.000188055,0.00022181,0.000186209,-0.000139968,-0.00376944,0.000133885,0.000501714,0.000778149,0.00104123,0.129404,-0.000270897,0.00954205,0.00210491,0.00145549,0.00960528,0.000617557,0.010388,0.0650258,0.10448,0.00927341,0.0249059,0.000797658,0.00128529,0.00628938,0.00947591,0.014106,0.00112717,0.00236239,0.000497511,-0.000226158,-0.000365942,0.00297549,0.00156845,0.000764501,0.000512866,0.000453748,0.000138467,7.36035e-05,1.94985e-05,8.86928e-05,7.20591e-06,0.00202482,-0.00264137,0.000369441,0.00186791,0.00965605,0.00435672,0.00196956,0.000839571,0.00012319,0.000315905,0.000707147,0.00192825,0.000906484,0.00136805,0.00104159,0.00118315,-0.000176974,0.000284869,-0.000932354,0.000347128,0.000949393
MPL,-0.0183364,-0.000159695,-0.000912131,-0.0721624,-0.0258753,-0.0473474,0.0,0.212441,5.52593e-05,5.56156e-05,-0.000100954,-0.000278517,-0.00455502,-0.000214728,-1.60871e-05,0.000111836,0.0001205,0.0327546,-0.000436421,0.00414003,0.00108681,0.0228488,0.00126999,0.00279568,0.00984035,0.000122867,0.000256776,0.00686394,0.00458396,0.000217683,0.00155564,0.0033237,0.0395769,0.00971484,0.000420838,0.00411478,-0.000291819,0.000183869,-0.000617234,0.000367989,0.00109791,0.000798485,0.00287344,0.000396727,-9.35778e-05,-0.000339619,0.000595832,2.53597e-05,-0.000101604,0.000619627,-0.0031568,0.00127027,0.00581032,0.00115833,0.00100258,0.00287279,0.000590767,-1.60444e-05,0.000206524,0.000633623,0.00455704,0.00100792,0.0013094,0.000944257,0.0010773,-0.000413609,-0.00649765,-0.00222661,0.000218303,0.000774467
SPL,-0.0349542,-0.0028011,-0.000884869,-0.0139492,-0.0141614,-0.026519,-0.212441,0.0,-4.03403e-05,-8.06718e-05,-0.000286314,-0.000388878,-0.00494218,-0.000336275,-0.00023137,-0.000304282,-0.000389338,-0.000293185,-0.000559431,2.80959e-05,-0.000124563,-0.000158415,-0.0956435,-0.00026495,0.0105176,-2.4312e-05,-0.000137873,-1.33978e-07,-0.000163232,2.29105e-05,-0.000251895,-0.000300878,-0.000548623,-0.00268964,-3.74516e-05,-0.000498222,-0.00080651,-0.000675834,-0.0006046,-0.000505789,0.000224421,-0.000228916,0.000927362,7.31361e-05,-0.000441115,-0.00050075,-0.000677165,-0.000182813,-0.000206543,1.72051e-05,-0.00293004,-0.000111522,0.000320731,0.000988416,6.0468e-05,0.00847464,0.000392625,-7.95634e-06,-6.74431e-05,0.000467313,0.00330042,0.00151242,0.000471074,0.000511433,0.000488908,-0.00320853,-0.0108259,-0.00296991,0.000223799,0.000238589
HAK,-0.00876358,-0.000333999,-0.000524409,-0.00146849,-2.91187e-05,-0.000188055,-5.52593e-05,4.03403e-05,0.0,-4.27013e-05,-0.0153445,-0.000363314,-0.325792,-0.000311644,-0.000126333,-8.23661e-05,-0.0002192,-1.0282e-05,-0.000229481,-0.0129772,-7.98693e-05,-8.83425e-05,-0.00106716,-6.48506e-05,-0.000134235,2.59387e-05,-0.000127675,9.29796e-05,-5.90378e-05,7.36221e-05,-8.99421e-05,-1.75603e-05,-0.000165068,-0.000599699,-4.54136e-05,-0.000102359,-5.15525e-05,-8.30613e-05,-4.14397e-05,-0.000136976,-0.000118416,-0.0001088,-2.40171e-05,-2.04558e-05,-0.000129019,-0.00012747,-0.000146344,-0.000344335,-0.000136011,5.8868e-05,-0.00352137,-0.000124891,0.0295875,2.7315e-05,3.77065e-05,0.00703638,0.00252338,0.000579511,-0.000294145,0.00113537,0.0200349,0.00207808,0.000245403,0.000645372,0.000496875,-0.000217989,-0.000278871,-7.73872e-05,0.000770275,6.72365e-05
HAK1,-0.0160523,-0.000351082,-0.000805429,-0.00114266,2.13866e-06,-0.00022181,-5.56156e-05,8.06718e-05,4.27013e-05,0.0,-0.00991588,-0.000434844,-0.212034,-0.000262277,-0.000125897,-0.000256849,-0.000337124,-0.000148013,-0.000463282,-0.0106732,0.0130175,0.000319928,-0.00104651,-0.000154742,0.00346292,0.000101052,-8.00711e-05,8.57208e-05,-8.36087e-05,0.00233303,9.99946e-05,-0.000184751,-0.000153164,-0.000588469,0.00491978,-4.49683e-05,-0.000632122,-0.000449732,-0.000598371,-0.000405691,0.00132517,-0.000395295,0.000133718,0.000244587,-0.000194659,-0.000280256,-0.000610635,-7.34596e-05,-0.000110575,0.000217462,-0.00290164,0.000314718,0.0301902,0.000555065,0.000611588,0.0014869,0.0010957,0.000152585,0.000243101,0.000872486,0.0183422,0.00126782,0.000988742,0.000945554,0.00100971,-0.0309067,-0.0108495,-0.00248313,0.000345595,0.000839626
