,TOT,CUT3,CUT2,CUT1,ORI,ESSESH,SHKRAY
H,5.58030362862744,5.57997263525633,5.57962746021603,5.57932235686223,5.57910292361385,5.57861704280324,5.57877360607757
AMI,1.8912578011944,1.89123088019363,1.89119226220746,1.89113414184125,1.89110161837334,1.89095748924997,1.89096345542584
Hr,3.68904582743304,3.6887417550627,3.68843519800857,3.68818821502097,3.68800130524051,3.68765955355327,3.68781015065173
CAP,27233.4494398388,27231.8339970448,27230.1494500162,27228.659884404,27227.5576921512,27225.2191666319,27225.9661807271
ASC,9229.86940034963,9229.73798367954,9229.54951846004,9229.26567966564,9229.0963477383,9228.40404433731,9228.42737879315
OH,18003.5800394892,18002.0960133652,18000.5999315561,17999.3942047384,17998.4613444129,17996.8151222946,17997.538801934
ASC.CAP,0.33891664809995,0.338931927415582,0.338945973667969,0.338954091712459,0.338961593694419,0.338965280237227,0.338956836923048
OH.CAP,0.66108335190005,0.661068072584418,0.661054026332031,0.661045908287541,0.661038406305581,0.661034719762773,0.661043163076952
robustness,0.366708178476132,0.366709431052067,0.366710581935616,0.366711246824394,0.366711861083205,0.36671216287478,0.366711471620229
ELD,3.5913416707332,3.59096322268812,3.5905817225793,3.59027438990593,3.59004182666677,3.58961663972114,3.58980399738951
TD,3.70958500773674,3.70951578672587,3.7094164919283,3.70926705750441,3.70918343839924,3.70881289948488,3.70882823708231
A.input,2402.60518022666,2402.60517396536,2402.60517421889,2402.60513893089,2402.60325094825,2402.60522557162,2402.60417954127
A.internal,4997.7472061887,4997.61622260531,4997.42892520534,4997.14577639387,4996.98308481293,4996.28761848691,4996.31325529619
A.export,436.25162479199,436.251585954774,436.25155256245,436.251530168646,436.25093313487,436.250460710994,436.250381303635
A.respiration,1393.26538914229,1393.2650011541,1393.26386647336,1393.26323417224,1393.25907884224,1393.26073956779,1393.25956265205
OH.input,1907.86858801181,1907.86858801046,1907.86858801046,1907.86858801046,1907.86861026113,1907.86858801046,1907.86858801181
OH.internal,11196.5617284353,11195.607814974,11194.6239721228,11193.9236053248,11193.3337747243,11192.5808829948,11193.0886324287
OH.export,1346.58539056247,1346.58366604165,1346.58127262959,1346.57938346811,1346.58649854317,1346.573445736,1346.57958649193
OH.respiration,3552.56433247965,3552.03594433911,3551.52609879324,3551.02262793503,3550.67246088433,3549.79220555336,3550.00199500152
CAP.input,4310.47376823847,4310.47376197581,4310.47376222935,4310.47372694135,4310.47186120938,4310.47381358208,4310.47276755308
CAP.internal,16194.308934624,16193.2240375793,16192.0528973282,16191.0693817187,16190.3168595372,16188.8685014817,16189.4018877249
CAP.export,1782.83701535446,1782.83525199643,1782.83282519204,1782.83091363676,1782.83743167804,1782.82390644699,1782.82996779556
CAP.respiration,4945.82972162193,4945.30094549321,4944.7899652666,4944.28586210726,4943.93153972657,4943.05294512115,4943.26155765357
