FG,Key1 TOT,Key 2 TOT,RTI TOT,Key3 TOT,Key1 CUT3,Key 2 CUT3,RTI CUT3,Key3 CUT3,Key1 CUT2,Key 2 CUT2,RTI CUT2,Key3 CUT2,Key1 CUT1,Key 2 CUT1,RTI CUT1,Key3 CUT1,Key1 ORI,Key 2 ORI,RTI ORI,Key3 ORI,Key1 ESSESH,Key 2 ESSESH,RTI ESSESH,Key3 ESSESH,Key1 SHKRAY,Key 2 SHKRAY,RTI SHKRAY,Key3 SHKRAY
SB,-2.880121,3.547786,0.000918294,-0.945623,-2.881302,3.546605,0.00101436,-0.972817,-2.882329,3.545578,0.00108319,-0.990234,-2.88562,3.542287,0.00107647,-1.022297,-2.886853,3.541057,0.00116713,-1.048004,-2.886631,3.541276,0.00112171,-1.060556,-2.886765,3.541141,0.00118017,-1.06069
MM,-0.273635,3.03259,0.371264,1.450856,-0.300657,3.005568,0.386413,1.415561,-0.331547,2.974678,0.385214,1.376238,-0.400502,2.905723,0.329106,1.307283,-0.463503,2.842724,0.309517,1.244281,-0.444521,2.861703,0.310603,1.254663,-0.473958,2.832266,0.30547,1.225227
TUR,-0.412007,3.06989,0.269922,1.344011,-0.412013,3.069884,0.298968,1.336318,-0.412014,3.069883,0.32001,1.328492,-0.41211,3.069787,0.320373,1.320427,-0.412113,3.069786,0.34834,1.312306,-0.412116,3.069781,0.334611,1.30403,-0.412121,3.069775,0.352154,1.304025
XIP,-0.582617,3.527733,0.182188,1.27475,-0.583772,3.526578,0.201259,1.255111,-0.584398,3.525952,0.215115,1.248145,-0.588025,3.522325,0.213615,1.224922,-0.589824,3.520528,0.231304,1.202601,-0.590251,3.520099,0.22197,1.187934,-0.589632,3.520717,0.233945,1.188553
THU,-0.777771,2.409638,0.116309,0.912708,-0.781204,2.406205,0.127812,0.90032,-0.783341,2.404067,0.136137,0.889039,-0.789371,2.398037,0.134442,0.873669,-0.793577,2.393835,0.14477,0.878803,-0.792656,2.394752,0.13936,0.870384,-0.793648,2.393759,0.146334,0.869392
LPL,-0.0729355,2.421788,0.590968,1.446975,-0.0736476,2.421076,0.653496,1.446263,-0.0738163,2.420907,0.699222,1.45906,-0.0758897,2.418834,0.696835,1.456986,-0.0780567,2.41667,0.7539,1.454819,-0.0774177,2.417306,0.725257,1.455458,-0.0774708,2.417252,0.763198,1.455405
MPL,-0.337381,2.737415,0.320692,1.316198,-0.337469,2.737327,0.355133,1.316109,-0.337489,2.737307,0.380112,1.30633,-0.337506,2.73729,0.380613,1.306313,-0.337819,2.73698,0.413543,1.315759,-0.337924,2.736871,0.39715,1.305894,-0.338054,2.736741,0.417853,1.305764
SPL,-0.653791,2.027531,0.15496,0.915319,-0.657629,2.023692,0.170127,0.923062,-0.658203,2.023118,0.181861,0.922488,-0.661026,2.020295,0.180927,0.919665,-0.661626,2.019699,0.196452,0.919066,-0.66124,2.020082,0.188878,0.919451,-0.661729,2.019591,0.198559,0.930243
HAK0,-2.095954,2.735469,0.00558671,-0.182133,-2.095291,2.736131,0.00619739,-0.20319,-2.098009,2.733413,0.00659223,-0.222941,-2.097013,2.734409,0.00661631,-0.245749,-2.10203,2.729395,0.00711132,-0.275949,-2.09976,2.731663,0.00686688,-0.28684,-2.105902,2.725519,0.00712551,-0.292982
HAK1,-1.659221,2.609047,0.0152723,0.221616,-1.693312,2.574955,0.0156388,0.164044,-1.792946,2.475321,0.013308,0.0521751,-1.796991,2.471276,0.0132025,0.029107,-1.80595,2.46232,0.014062,-0.00658639,-1.809518,2.45875,0.0133973,-0.0241649,-1.819679,2.448588,0.0137739,-0.0343261
HAK2,-0.6851,3.061735,0.143907,1.121158,-0.68983,3.057006,0.157667,1.095578,-0.695613,3.051223,0.166533,1.082616,-0.696901,3.049935,0.166265,1.074029,-0.699042,3.047796,0.179891,1.071888,-0.699384,3.047452,0.172666,1.056569,-0.6994,3.047435,0.181714,1.056553
HAK3,-0.699133,2.837052,0.139347,1.071846,-0.700494,2.835691,0.15386,1.06306,-0.709835,2.82635,0.161185,1.046166,-0.713247,2.822938,0.160141,1.035067,-0.707174,2.829013,0.176573,1.04114,-0.713833,2.822352,0.167035,1.018688,-0.714707,2.821477,0.175441,1.017813
HAK4,-1.691039,2.866107,0.0141931,0.212063,-1.693945,2.863201,0.0156157,0.186881,-1.694167,2.862979,0.0167063,0.169168,-1.695577,2.861569,0.0166747,0.143284,-1.69497,2.862179,0.0181558,0.117956,-1.699015,2.858131,0.0172786,0.100338,-1.69958,2.857565,0.0181611,0.0997725
MUL0,-1.856024,2.604443,0.00970721,0.0416185,-1.869405,2.591061,0.0104257,0.00567123,-1.959311,2.501156,0.00907275,-0.101963,-2.101103,2.359364,0.00655444,-0.268579,-2.094482,2.365988,0.00723614,-0.288287,-2.117341,2.343126,0.00659458,-0.324934,-2.151246,2.30922,0.0064192,-0.358839
MUL1,-0.892485,2.8307,0.0892688,0.906937,-0.908464,2.814722,0.0953042,0.86977,-1.005497,2.717688,0.0815867,0.765437,-1.387292,2.335894,0.0339167,0.376218,-1.395116,2.328072,0.0362192,0.368394,-1.451996,2.271189,0.030521,0.296274,-1.504411,2.218774,0.0284697,0.243859
MUL2,-0.839849,2.438014,0.100805,0.876384,-0.842236,2.435626,0.111042,0.865563,-0.844233,2.433629,0.118312,0.854966,-0.885294,2.392568,0.107785,0.805131,-0.872332,2.405533,0.120745,0.826867,-0.886205,2.391658,0.112341,0.80422,-0.886855,2.391007,0.118055,0.80357
MUL3,-1.336579,2.244021,0.0321098,0.441686,-1.343705,2.236895,0.0349866,0.427261,-1.348201,2.232399,0.0370636,0.415341,-1.360999,2.219601,0.0360361,0.39499,-1.273337,2.307266,0.0479458,0.482652,-1.371699,2.208901,0.0367221,0.368778,-1.376125,2.204475,0.0382561,0.364352
TRA,0.0208249,1.989338,0.739051,1.304325,0.0155464,1.984059,0.808699,1.299047,0.0150581,1.983571,0.864647,1.298558,0.008848,1.977361,0.853528,1.292348,-0.00418492,1.964331,0.900607,1.279315,0.000264412,1.968777,0.874025,1.283765,0.000336667,1.968849,0.920015,1.283837
PAG,-1.331716,2.172684,0.032473,0.431848,-1.333036,2.171364,0.0358586,0.422975,-1.33806,2.166339,0.0379411,0.410264,-1.338549,2.165851,0.0379499,0.40195,-1.279558,2.224845,0.0472663,0.452972,-1.340032,2.164368,0.0395018,0.38438,-1.340781,2.163618,0.0415017,0.383631
DFS,0.0588965,2.463191,0.801164,1.53774,0.0533569,2.457651,0.876138,1.5322,0.0485233,2.452818,0.927427,1.527367,0.0385499,2.442844,0.907601,1.531634,0.0311946,2.435492,0.970265,1.524278,0.0254186,2.429713,0.919716,1.518502,0.0187738,2.423068,0.953251,1.511858
DFH,-0.27461,1.485724,0.376911,0.879263,-0.276317,1.484018,0.415836,0.877557,-0.290174,1.47016,0.431128,0.8637,-0.353207,1.407127,0.373389,0.800666,-0.361298,1.399039,0.398493,0.792575,-0.363007,1.397328,0.381287,0.790867,-0.375265,1.385069,0.390114,0.778609
DSM,-0.11555,1.629166,0.543989,1.00643,-0.139003,1.605713,0.570858,0.982978,-0.142526,1.60219,0.606102,0.979455,-0.160984,1.583732,0.58167,0.960997,-0.469062,1.275657,0.311135,0.652919,-0.4891,1.255616,0.285398,0.632881,-0.510634,1.234081,0.285834,0.611346
DSP,-0.538068,2.214121,0.202211,1.053767,-0.539552,2.212637,0.223209,1.063279,-0.540823,2.211366,0.238222,1.062007,-0.543599,2.20859,0.237025,1.069956,-0.549973,2.202219,0.253963,1.063582,-0.549242,2.202947,0.244366,1.053589,-0.543464,2.208724,0.260626,1.07009
DSR,-0.558295,2.030187,0.193167,0.986898,-0.635051,1.95343,0.179295,0.910141,-0.642712,1.94577,0.188559,0.914716,-0.703684,1.884797,0.164083,0.853743,-0.707433,1.881051,0.176874,0.849994,-0.709798,1.878683,0.168981,0.847629,-0.723833,1.864648,0.172188,0.845493
MSC,-0.0683238,1.534902,0.610993,0.984326,-0.0778715,1.525355,0.662033,0.974778,-0.0848845,1.518342,0.69728,0.967765,-0.109702,1.493524,0.659445,0.942948,-0.116704,1.486525,0.705548,0.935946,-0.118495,1.484732,0.674956,0.934155,-0.117634,1.485592,0.711762,0.935016
MSG,-0.415813,1.78211,0.269197,0.984907,-0.415901,1.782022,0.298107,0.984818,-0.416328,1.781595,0.318776,0.984392,-0.416716,1.781207,0.318924,0.984004,-0.416825,1.781101,0.346679,0.983894,-0.416866,1.781058,0.332987,0.983854,-0.41688,1.781043,0.350438,0.98384
MSP,-0.418656,1.939966,0.266908,1.030416,-0.425503,1.933119,0.291008,1.023569,-0.429745,1.928877,0.308464,1.019328,-0.44423,1.914392,0.29875,1.004842,-0.449495,1.90913,0.320917,0.999577,-0.450676,1.907946,0.307433,1.013636,-0.450242,1.908379,0.323879,0.99883
ENG,-0.303336,1.830109,0.349138,1.080105,-0.304911,1.828533,0.385312,1.07853,-0.307777,1.825667,0.40972,1.075664,-0.319483,1.813962,0.399365,1.063958,-0.32283,1.810617,0.430897,1.060611,-0.322063,1.811381,0.414648,1.061378,-0.322642,1.810802,0.435812,1.060799
