FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturus_oxyrinchus,Myliobatis_aquila,RSH_C1,RSS_C1,SSH_C1,SSS_C1,SSS_C2,Torpedo_marmorata,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.000413239,-2.28752e-05,1.15604e-05,-0.000266579,0.000132625,3.55268e-05,3.17656e-05,9.89585e-05,5.29144e-05,4.10031e-05,-3.41582e-05,-6.51354e-05,-7.88157e-05,4.703e-06,2.47324e-05,7.76587e-05,-1.14664e-05,-9.26507e-05,1.73807e-05,3.20725e-05,-2.207e-06,1.65544e-05,-6.2581e-06,-0.000108416,4.04513e-05,1.11973e-05,3.18099e-05,-0.000947602,-0.000709314,-9.41357e-05,5.3043e-05,1.98464e-05,-4.27781e-05,-6.02457e-05,1.26427e-05,0.00020796,-6.6974e-06,8.6629e-06,-6.301e-07,3.07952e-05,8.24972e-05,-3.1684e-06,7.545e-07,6.4059e-06,-3.39825e-05,2.65009e-05,-6.65461e-05,1.53075e-05,6.9042e-06,1.83468e-05,2.16798e-05,-6.39335e-05,6.73556e-05,3.4688e-05,6.56561e-05,0.000133658,-1.09756e-05,2.0877e-06,-5.39948e-05,-7.5974e-06,-8.6993e-05,-8.59082e-05,-3.42132e-05,-5.2671e-06,-3.93774e-05,4.03139e-05,1.74984e-05,2.45613e-05,-1.8827e-06,-5.89474e-05,2.92873e-05,7.8625e-05,-3.47072e-05,-3.29713e-05,-4.6704e-06,1.60698e-05,4.64e-08,-0.000143669,-1.15468e-05,-1.52253e-05,3.27548e-05,3.03504e-05,8.6629e-06,-1.29503e-05,-9.13909e-05,3.286e-05,8.4524e-06,1.7442e-05,7.6576e-06,-1.49712e-05,-0.000836588,-0.000573554,-1.2646e-06,1.50948e-05
MM,0.0250528,-0.0905395,-0.00601531,-0.0397321,-0.00370309,-0.00724486,0.00838546,0.0162765,-0.036776,0.00604745,0.00199299,0.00606925,-0.00499693,0.0120555,0.0308102,-0.0238011,-0.0105172,-0.0156243,-0.134526,0.0343156,0.00604212,0.00830846,-0.0675057,0.058335,0.0312445,0.00224578,-0.0158802,0.0635817,0.02303,0.00329352,0.03683,-0.01751,-0.103205,-0.241944,0.00260954,-0.0152823,0.0131107,-0.0197619,-0.0177364,0.00381231,-0.0101376,-0.00722087,0.00215375,0.00124587,0.00624367,-0.00463038,0.0115574,-0.00510454,0.000681569,0.000635365,-0.00268664,-0.00390056,-0.0108768,-0.00253674,-0.0096747,-0.0122672,0.00246834,-0.000888469,0.00634038,4.49892e-05,0.0106826,0.00820291,0.00481128,0.000326247,0.00513127,-0.00784051,-0.00450729,-0.0043689,-0.00963617,-0.0988969,0.0352483,0.161466,-0.0931945,0.00540935,0.00103705,-0.00231332,0.0175488,-0.0187951,-0.0506829,-0.0707178,0.00427448,-0.00421145,-0.0197619,0.0105935,-0.0226903,0.0038374,-0.00509154,-0.00450395,-0.00522324,0.0138301,0.0447664,0.0329857,0.00608861,-0.00818148
TUR,8.59861e-05,-0.000333897,-0.155612,-0.000126889,8.28997e-05,5.32647e-05,-1.22631e-05,-1.66841e-05,-0.00026461,0.000849576,0.000894004,-1.28028e-05,-5.15243e-05,0.000474814,0.00113772,0.000650968,0.000691549,8.10642e-05,0.00101933,9.84765e-05,5.26328e-05,0.000271264,0.000304649,0.00010142,8.23342e-05,-3.10724e-05,1.58532e-05,9.73491e-05,0.000421289,2.54113e-05,-0.000162153,8.00085e-05,-0.00266374,0.0001069,-4.65056e-05,0.000152449,8.50048e-05,-0.0181729,0.000377343,0.000464938,-2.99726e-05,0.00148791,0.00017581,0.00120582,0.000468043,0.00329069,0.00294569,0.0275113,-0.384974,0.00301829,0.0254398,0.000274276,-7.28278e-05,9.552e-07,-2.83682e-05,-1.24718e-05,1.28525e-05,-6.8244e-06,-5.486e-05,7.5206e-06,4.68212e-05,2.69586e-05,-0.000297633,-0.000646439,-0.000278802,0.000469839,0.000552787,-0.00162525,0.00156517,-0.000628486,-2.66942e-05,-5.61196e-05,0.000283678,-0.000247229,6.6835e-06,-2.87146e-05,-0.00124775,0.0001035,5.07064e-05,-0.000329432,4.9715e-06,4.60159e-05,-0.0181729,-0.000374082,-8.49784e-05,6.804e-06,-3.92107e-05,0.00042132,8.8425e-05,7.82441e-05,0.000236023,0.000145036,-0.000259291,0.000298042
XIP,-0.00189963,-0.000879391,0.000320448,-0.29623,-0.235023,-0.0461559,0.0307351,-0.0155668,-0.00373168,0.0067766,0.0124735,0.0130995,0.01305,-0.0013144,0.000371806,0.000927143,0.00016264,0.0206736,-0.045091,0.00216121,-0.00320279,-0.0014747,0.0308891,-0.00274237,-0.00964295,0.0411691,0.0285794,-0.0122394,0.0130223,0.00540571,0.000814158,0.00347737,-0.00644073,-0.00864134,-0.000301492,0.00298955,-0.00168951,0.00447242,0.00510281,-0.00332025,-0.000652117,0.00169387,-0.00133394,-0.00023216,-0.000179342,-0.000175648,0.00235946,-0.00106437,-7.92418e-05,-0.0038923,-0.00103628,0.000751242,0.00169006,-0.0175612,-0.00220593,0.0016697,-0.000364602,0.000131474,0.000521916,0.000192498,-0.00157637,-0.000812369,0.000361999,-0.000103612,1.0533099999999999e-05,-0.00498318,-0.0188491,-0.0148332,-0.00466739,0.000452129,-0.000985409,-0.000702871,-5.78191e-05,-0.000684805,-0.000163854,-0.000106417,0.0024598,0.325557,0.0236044,0.0217945,0.0105117,-0.0375746,0.00447242,0.00151082,0.282325,0.00836157,-0.000458082,0.000159238,6.7636e-06,0.0205766,0.00403692,-0.00849187,0.00924697,-0.00185803
THU,0.00124915,-0.00897806,0.000165026,-0.109784,-0.1355,-0.0313226,-0.0290286,0.029737,-0.0106883,0.00215871,0.00362945,0.00888162,0.00908501,0.0071355,0.0204801,-0.00650178,-0.00325607,0.0082425,0.00455282,0.0112207,0.00480495,5.70261e-05,-0.0896798,-0.00613512,-0.000546559,0.0272113,-9.78828e-05,0.00061285,0.00338243,0.00394198,0.00388277,0.00293559,0.00725786,-0.0287925,4.08365e-05,0.000406142,-0.00129099,0.0017496,-2.23358e-05,-0.00155191,-0.00154913,4.69194e-05,-0.000135463,-2.7825e-06,0.000592464,-0.000494913,-0.00195609,0.001586,-3.03416e-05,-0.00149324,0.00131244,0.000180377,-0.000949498,-0.0119741,-0.00138413,-0.00173829,0.000358141,-0.00018106,0.000997166,-6.44657e-05,0.00116366,0.00112147,0.000699915,4.7976e-06,0.000560132,-0.0028415,-0.00892073,-0.00658043,-0.00179552,-0.00856072,0.00349001,0.0165292,-0.00976036,0.000518925,0.000136716,-0.000352401,-0.00182163,-0.0533257,-0.0565226,-0.0656551,-0.029632,-0.0239755,0.0017496,0.000285171,0.153331,-0.0296961,-0.00036744,-0.000791353,-0.000528089,0.00773536,0.0010542,0.0102091,0.00283033,-0.000622866
LPL,-0.0051292,-0.00549367,0.000270862,-0.0331385,-0.0843386,-0.440336,-0.347495,0.13178,0.0379804,-0.00179035,-0.0744639,-0.155513,-0.196808,0.0132985,0.00387613,0.0222758,0.0171204,-0.236072,-0.00447481,-0.036559,0.023117,0.0214569,-0.0367759,-0.00300495,0.105983,-0.4956,-0.267842,0.0739667,-0.177734,-0.06701,-0.00604875,-0.0324831,0.0113172,0.0508472,0.00679895,-0.00381651,0.0167364,-0.00590548,-0.0516913,0.0472374,0.0115408,-0.0158484,0.0106183,0.00304249,0.000460175,0.00234991,-0.0156474,0.00552911,-7.8137e-06,0.0431387,0.00751478,-0.0138338,-0.0121469,0.212844,0.0300612,-0.00747072,0.00266883,-0.00103183,-0.00873307,-0.00211019,0.00970847,0.00234095,-0.0057039,0.000223156,-0.00287826,0.0288394,0.0217323,0.0166034,0.0210422,0.0153827,0.00455045,-0.0307649,0.0299061,0.00328408,0.00129375,0.001896,-0.0224086,-0.024245,-0.0975008,-0.0292523,-0.1089,0.452015,-0.00590548,-0.0188007,0.0751618,-0.0835324,0.00229171,0.00597617,-0.00341746,-0.100579,-0.0380213,0.023708,-0.0514871,0.00742243
MPL,-0.000579067,-0.00719923,-0.00195477,0.0123174,-0.00151297,-0.00722324,-0.116002,-0.449849,0.0036874,-0.000977187,-0.0139199,-0.0209241,-0.0290362,0.00820523,0.0101334,0.000400619,6.5695e-06,-0.0360836,0.00277211,-0.00160558,0.0048062,-0.0248818,-0.0395195,0.0111719,0.0133564,0.00845527,0.0206575,-0.000744533,-0.00682874,0.00234018,-0.00323896,-0.0174612,-0.0414994,-0.00304901,0.000134658,-0.00364,0.00893652,-0.00394028,-0.00625488,0.00834374,0.000130347,-0.0035498,-0.00268696,0.000466638,0.000574913,-0.000635852,0.00453237,-0.00269908,0.000304076,0.00545496,-0.00184692,0.0033293,-0.00844454,-0.00292575,0.000570224,0.0136539,-0.00155893,0.000441767,-0.000245324,0.000940116,0.000190658,-0.00640132,-5.60941e-05,0.000242912,0.00023321,0.0034003,0.00172998,-0.00144107,0.00273855,-0.00822335,-0.00153532,-0.001777,-0.0166747,0.00100973,-0.000595993,4.46206e-05,0.0354568,0.00244153,0.183365,-0.0273968,0.649595,-0.0109792,-0.00394028,0.00277372,0.00286715,0.624674,-0.00403258,0.00213801,-0.00265929,-0.0127578,-0.00337937,0.0255935,-0.00788687,-0.0016386
SPL,-0.00354152,-0.00915363,0.00146705,-0.00322253,-0.00240525,-0.0153903,0.187447,-0.141995,-0.00597465,0.000526973,-0.00857293,-0.00436237,-0.00464865,-0.0140496,-0.0148229,-0.00419275,-0.00525932,-0.00403238,-0.00106412,0.00673385,-0.00152573,-0.00395316,0.0745668,-0.00610805,-0.0483416,0.0110927,-0.0342256,-0.0118402,0.00599517,-0.000725126,0.00583154,-0.00155885,-0.00728444,-0.0106147,0.00199319,0.00465602,0.00159797,0.00313211,0.0256007,0.00134784,0.00780298,0.00777712,-0.00730382,-0.00135843,-0.00669009,0.00249704,0.00632447,-0.00462779,0.000837107,0.00378906,-0.00330622,-0.003166,0.00712185,-0.0071178,0.00041847,-0.0211542,0.00393412,-0.00147865,-0.00398107,-0.00349869,0.00314817,0.00876547,-0.00277683,-0.00031614,-0.00379948,0.00386592,0.000629038,-0.00178519,0.00550763,0.0121099,-0.00708651,0.00796373,-0.00386367,-0.00571753,0.00150376,0.0020706,0.0103031,-0.00148032,0.0853445,0.0561002,0.134098,0.0437946,0.00313211,0.00148126,0.00211518,0.128426,0.00012306,0.0108441,0.00191363,0.00284581,-0.00389731,0.0487074,0.00227834,0.00185402
HAK0,-0.000108011,-4.4008e-05,4.95127e-05,1.66471e-05,-2.63218e-05,-1.56229e-05,-0.000699996,0.000413917,-0.00291061,-0.003774,0.000345578,-6.0712e-05,0.00207787,-6.17208e-05,-2.9408e-05,-2.65193e-05,7.5033e-06,-0.000131571,0.000111296,0.000195288,-0.00041561,-0.000574339,-0.000155147,-0.000284581,-1.72477e-05,0.000135217,-0.000291218,-0.000180867,0.00017394,-1.8362e-05,7.38686e-05,7.06097e-05,-0.000278711,3.9351e-06,8.98126e-05,0.000212855,-0.000358842,9.30225e-05,-0.000216107,-0.000170564,7.34355e-05,7.84788e-05,7.36267e-05,1.82899e-05,-4.724e-07,5.27526e-05,2.81391e-05,-3.46051e-05,3.47017e-05,8.75309e-05,0.000121788,0.000145935,-0.00553226,8.94751e-05,4.99163e-05,2.28739e-05,0.000503382,-0.000276341,4.0907e-06,-0.000254228,0.00323445,0.000207095,-6.03042e-05,-2.92824e-05,-5.10584e-05,-0.00036288,6.84056e-05,7.32234e-05,6.68038e-05,0.000300443,-0.00125591,-3.66106e-05,4.00811e-05,-2.062e-05,0.000204051,6.5074e-05,-0.000226067,-0.000112834,-0.000201697,-0.000187832,-0.000519997,-2.54877e-05,9.30225e-05,-0.00035729,-1.11403e-05,-0.000500859,-0.000126237,-0.000171165,-0.000133351,8.21357e-05,-2.28602e-05,-0.000104824,3.78778e-05,-0.000149878
HAK1,-0.000265832,-0.000375805,4.98664e-05,3.8015e-05,-0.000240684,3.48726e-05,-0.00123955,0.00232686,-0.00414649,-0.00964928,-0.00219238,-0.00158893,0.00155429,-0.000486184,-0.00145465,-0.000182473,-0.000685129,9.55675e-05,-0.000484096,1.84745e-05,-0.00440226,-0.000846829,-0.0018348,-0.00114378,-0.00135552,0.000814358,-0.00135947,0.000696225,0.000538782,-0.0020253,0.000640529,0.000285838,-0.000762294,-0.000500805,-0.0012366,0.000310455,-0.000691261,-0.000343197,0.000282359,-0.000681937,0.000385635,0.000352495,-7.27e-06,7.95944e-05,-9.55734e-05,0.000300612,0.000579279,-0.000403805,2.83643e-05,0.0002416,-0.000193319,0.00035339,-0.0106543,0.000785169,0.000489437,0.00221061,0.000972207,-0.000570906,-8.15781e-05,-0.000531172,0.00545464,-0.000740372,-0.000255889,-0.00012959,-0.000194667,-0.00128409,-0.000424815,0.00353926,-0.000324401,0.00179463,-0.00272573,0.000345719,0.00134227,-0.000137509,0.00040766,0.00021806,-0.000572159,-0.000155655,-0.000972637,-0.00156283,-0.000904358,-0.000176608,-0.000343197,-0.00012183,-4.18096e-05,-0.000868721,3.06968e-05,-0.00031522,0.000312182,3.65008e-05,0.000620519,0.000269163,0.000754222,0.000205843
