FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyraja_brachyurops,Dalatias_licha,Dipturus_oxyrinchus,Myliobatis_aquila,RSH_C1,RSS_C1,Raja_asterias,Raja_polystigma,SSH_C1,SSS_C1,SSS_C2,Scyliorhinus_canicula,Torpedo_marmorata,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.000413239,-2.29753e-05,1.15921e-05,-0.000266642,0.000132652,3.55399e-05,3.17664e-05,9.90152e-05,5.29979e-05,4.08967e-05,-3.42869e-05,-6.51765e-05,-7.87952e-05,4.2856e-06,2.58351e-05,7.75707e-05,-1.14614e-05,-9.26198e-05,1.74135e-05,3.20435e-05,-2.3882e-06,1.64279e-05,-6.1348e-06,-0.00010737,4.04115e-05,1.1178e-05,3.17624e-05,-0.000947583,-0.000709153,-9.41224e-05,5.3179e-05,2.02054e-05,-4.34989e-05,-6.02689e-05,1.26504e-05,0.000207838,-6.876e-06,9.2416e-06,-6.134e-07,3.07889e-05,8.24707e-05,-3.1927e-06,7.15e-07,6.4196e-06,-3.39668e-05,2.64717e-05,-6.64585e-05,1.52418e-05,6.8765e-06,1.83292e-05,2.16427e-05,-6.3894e-05,6.74449e-05,3.46871e-05,6.56505e-05,0.000133643,-1.0983e-05,2.0927e-06,-5.39783e-05,-7.5898e-06,-8.70402e-05,-8.58998e-05,-3.42044e-05,-5.2738e-06,-3.93687e-05,3.23527e-05,9.72726e-05,4.03079e-05,1.74952e-05,2.48268e-05,-1.9121e-06,6.097e-06,0.000114888,-6.16185e-05,2.6109e-05,7.74844e-05,-5.08058e-05,-3.3535e-05,-3.29505e-05,-4.6726e-06,1.60645e-05,2.086e-07,-0.000143512,-1.10701e-05,-1.52607e-05,3.27589e-05,3.03576e-05,9.2416e-06,-1.29249e-05,-9.14264e-05,3.28644e-05,8.4539e-06,1.74448e-05,7.6615e-06,-1.49838e-05,-0.000836507,-0.000573472,-1.2567e-06,1.50722e-05
MM,0.024955,-0.0904677,-0.00587982,-0.0394443,-0.0037035,-0.00710899,0.00734492,0.0161664,-0.0365721,0.0041986,-1.88383e-05,0.00497154,-0.00444958,0.0110929,0.0280827,-0.0245867,-0.0105674,-0.0154395,-0.134114,0.0347053,0.00637825,0.00697641,-0.0684609,0.0520264,0.031271,0.00210889,-0.0159354,0.0635663,0.022743,0.0032195599999999998,0.0350122,-0.0145398,-0.102745,-0.241967,0.00284306,-0.0149753,0.0115135,-0.0190103,-0.0174669,0.00405824,-0.0100388,-0.00707638,0.00220256,0.00125701,0.00631679,-0.00455639,0.0115293,-0.00499846,0.000688286,0.000517381,-0.00261318,-0.0032924,-0.0104416,-0.00246576,-0.00973651,-0.0123079,0.00242548,-0.000861012,0.00624968,5.94226e-05,0.0104422,0.00819537,0.0047127,0.000291021,0.00506371,0.0110391,0.243773,-0.00776307,-0.00438769,-0.00465142,-0.00943087,-0.00612865,-0.00682821,-0.0789683,0.0136716,0.150275,-0.103989,-0.0827357,0.0054251,0.00101788,-0.00228861,0.0159054,-0.0200458,-0.0499011,-0.0714979,0.00354335,-0.00412677,-0.0190103,0.00919675,-0.0227185,0.00313917,-0.00563396,-0.00424996,-0.0055941,0.014148,0.0446337,0.0326235,0.00615812,-0.00845468
TUR,8.73415e-05,-0.000339837,-0.155595,-0.000132616,8.36065e-05,5.52549e-05,-1.05654e-05,-1.70121e-05,-0.000242964,0.00073363,0.000791489,-4.6622e-05,-4.33985e-05,0.000614298,0.00154665,0.000643666,0.000683991,9.0153e-05,0.00101269,9.50906e-05,4.30157e-05,0.000268342,0.000317235,0.000174285,7.77068e-05,-3.3569e-05,1.13494e-05,9.55698e-05,0.000434492,2.65223e-05,-0.000147565,7.5153e-05,-0.0026937,9.94176e-05,-4.62655e-05,0.000139266,8.73069e-05,-0.0179704,0.000378364,0.00046024,-3.50798e-05,0.00147868,0.000164162,0.0012089,0.000469695,0.00328574,0.00294692,0.0275111,-0.384983,0.00301652,0.0254415,0.000271773,-6.86844e-05,1.2742e-06,-2.90552e-05,-1.23941e-05,1.24491e-05,-6.5887e-06,-5.14457e-05,8.3123e-06,4.43662e-05,2.74851e-05,-0.000294779,-0.000647276,-0.000277402,-0.000198264,-0.00010203,0.000473328,0.000560067,-0.00137375,0.00155945,-0.00811503,-0.000238043,-0.000811968,-8.0198e-06,-4.12306e-05,-0.000307061,0.000270911,-0.000247072,6.606e-06,-2.97775e-05,-0.00122197,0.000113006,6.6585e-05,-0.000324629,6.7462e-06,4.73277e-05,-0.0179704,-0.000366526,-8.62336e-05,8.5868e-06,-3.87716e-05,0.000418982,8.64414e-05,7.87443e-05,0.000240804,0.000149992,-0.000262631,0.000293357
XIP,-0.00191045,-0.000850809,0.00033341,-0.296211,-0.23503,-0.0461523,0.0307118,-0.0155882,-0.00371504,0.00659994,0.0123233,0.0130366,0.0130705,-0.00102189,0.000458535,0.000918466,0.000154986,0.0206834,-0.0450987,0.00216505,-0.0031482,-0.00146206,0.0308402,-0.00314173,-0.00962554,0.0411668,0.0285939,-0.0122514,0.0129752,0.00540085,0.000737737,0.00344495,-0.00623121,-0.00864382,-0.000296336,0.00298559,-0.00167729,0.00455004,0.00510128,-0.00331889,-0.000648821,0.00169265,-0.0013335,-0.000232271,-0.000178806,-0.000171746,0.00233969,-0.00104458,-8.19815e-05,-0.00389374,-0.00102361,0.000753148,0.00167822,-0.017558,-0.00220684,0.00167285,-0.000363697,0.000130846,0.000519235,0.000191591,-0.00157055,-0.000814086,0.000360624,-0.000103329,9.0017e-06,-0.0224114,-0.00135433,-0.00497864,-0.0188389,-0.0145666,-0.00466197,-0.0170087,-0.0184864,0.00159497,-0.000763278,-0.000586651,-0.00192708,-0.00018669,-0.000688361,-0.000163653,-0.000105706,0.00239953,0.325488,0.0234891,0.0217925,0.0104955,-0.0375715,0.00455004,0.00148146,0.282334,0.00834615,-0.00047202,0.000159623,-7.1217e-06,0.0205834,0.00400987,-0.00852303,0.00924358,-0.00186464
THU,0.00125171,-0.00900693,0.000160454,-0.109792,-0.13549,-0.0313118,-0.0290705,0.029752,-0.0106599,0.0020607,0.00352109,0.0088216,0.00911505,0.00677191,0.0203085,-0.00654475,-0.00324787,0.00826234,0.00458625,0.0112304,0.00475946,-2.03317e-05,-0.0896864,-0.00607273,-0.000550953,0.027199,-0.000110107,0.000618675,0.00340795,0.00394256,0.00384991,0.00318213,0.00703617,-0.0287986,5.25492e-05,0.000420862,-0.00141811,0.001738,-7.3365e-06,-0.00154239,-0.00154986,5.07796e-05,-0.00013196,2.203e-07,0.000600718,-0.000496747,-0.00193467,0.00157008,-2.82498e-05,-0.00150453,0.00130425,0.000215348,-0.000906482,-0.0119711,-0.00138779,-0.00174485,0.000354256,-0.00017852,0.000996178,-6.20177e-05,0.00114079,0.00112358,0.000696519,1.6759e-06,0.000558938,-0.00889977,0.0240515,-0.00283792,-0.00892099,-0.00655608,-0.00179037,-0.0062506,-0.00874284,-0.00855843,0.00163849,0.0156198,-0.00603836,-0.00886199,0.000527582,0.00013524,-0.000352389,-0.00185091,-0.0533268,-0.0563273,-0.0657059,-0.02966,-0.0239689,0.001738,0.00023832,0.153318,-0.0297227,-0.000389346,-0.000779706,-0.000541362,0.00774697,0.00106839,0.0102177,0.00283438,-0.000638255
LPL,-0.00504888,-0.0056704,0.000200804,-0.0333059,-0.0843023,-0.44038,-0.347173,0.131917,0.0378616,-0.000574423,-0.0733556,-0.154988,-0.197018,0.0120864,0.00450271,0.0224679,0.0171651,-0.236153,-0.00450741,-0.0366441,0.0227449,0.0216247,-0.0363151,0.000434597,0.105871,-0.495564,-0.267922,0.0740352,-0.177401,-0.0669686,-0.00527648,-0.0328608,0.0100522,0.0508575,0.00672665,-0.00384511,0.016968,-0.00616492,-0.0517305,0.0471791,0.0114971,-0.0158784,0.0105884,0.0030447,0.000444523,0.00230853,-0.0155399,0.00540548,-7.476e-06,0.0431683,0.00743754,-0.0139599,-0.012158,0.212813,0.0300769,-0.00747993,0.00267132,-0.00103322,-0.00869658,-0.00210682,0.00971821,0.00235231,-0.00567394,0.000226963,-0.00285582,0.0604342,-0.0441205,0.0288191,0.0216784,0.0154027,0.0209819,0.0199843,0.0302205,0.00522225,0.0075143,-0.029299,0.0296987,0.0286426,0.00329909,0.00129611,0.00188595,-0.0217406,-0.0236267,-0.0969974,-0.029089,-0.108675,0.451983,-0.00616492,-0.0183722,0.0751172,-0.0833173,0.0024706,0.00592487,-0.00327394,-0.100667,-0.0378392,0.0239534,-0.051505,0.0075057
MPL,-0.00056971,-0.00723733,-0.00197368,0.0122962,-0.00150194,-0.00721991,-0.116004,-0.449823,0.00368278,-0.000885735,-0.0138534,-0.0209058,-0.0290361,0.00771968,0.00985642,0.000380911,1.66329e-05,-0.0360797,0.00279774,-0.00159766,0.00473678,-0.0249233,-0.0394852,0.011528,0.0133429,0.00845033,0.0206411,-0.000732238,-0.0067814,0.00234411,-0.00319221,-0.0172985,-0.0417895,-0.0030495,0.000136113,-0.00362847,0.00885687,-0.00407486,-0.00624659,0.0083476,0.000128109,-0.00354528,-0.00268141,0.000467867,0.000579217,-0.000639007,0.00456081,-0.00272471,0.000310237,0.00544959,-0.00186265,0.0033453,-0.0084143,-0.00292652,0.000569411,0.0136481,-0.00156153,0.000443499,-0.000244229,0.000941973,0.000175021,-0.0063989,-5.73028e-05,0.000241126,0.000233746,0.000254378,0.000756763,0.00339417,0.00171607,-0.0016547,0.00273404,0.00226498,-0.000153862,-0.00914264,-0.00255279,-0.00237844,-0.00492098,-0.0160674,0.0010181,-0.00059687,4.42076e-05,0.0354886,0.00249769,0.183565,-0.0274239,0.649595,-0.0109777,-0.00407486,0.00277653,0.00285284,0.624673,-0.00403223,0.00214351,-0.00265427,-0.0127529,-0.00335215,0.0256224,-0.00787616,-0.00164079
SPL,-0.00361455,-0.00894082,0.00154116,-0.00304442,-0.00245942,-0.0153766,0.187216,-0.142144,-0.00595791,-0.000150699,-0.00918536,-0.00465352,-0.00453195,-0.0123473,-0.01522,-0.00429027,-0.00531286,-0.00402003,-0.00108008,0.00680823,-0.00109701,-0.00403185,0.0741496,-0.00943552,-0.0482545,0.0110883,-0.034147,-0.0119021,0.0056613,-0.000764314,0.00516588,-0.0016092,-0.00572683,-0.0106029,0.00203902,0.00467747,0.00159069,0.00338824,0.0256207,0.00139475,0.00784872,0.00780993,-0.00728541,-0.0013684,-0.00669495,0.00254111,0.0061861,-0.00448481,0.000834095,0.00378811,-0.00322175,-0.00309786,0.00706445,-0.00709732,0.000410462,-0.0211348,0.00393787,-0.00148133,-0.00401548,-0.00350616,0.00317497,0.00875074,-0.00280105,-0.000314127,-0.00382042,-0.0189276,0.00844858,0.00388251,0.000683383,-0.00126884,0.00556782,-0.00318117,-0.00146541,0.0215461,-0.00674517,0.00815983,-0.00554338,-0.00427287,-0.00575068,0.00150384,0.00208085,0.00971441,-0.00205807,0.0845372,0.0560352,0.133932,0.0438063,0.00338824,0.00113725,0.00218049,0.128266,-4.568e-06,0.0108806,0.00180866,0.002907,-0.00407597,0.048471,0.00228253,0.00180945
HAK0,-0.000107942,-4.16273e-05,4.92046e-05,1.62439e-05,-2.71101e-05,-1.69947e-05,-0.000691885,0.000412942,-0.00291228,-0.00376031,0.000361372,-5.17921e-05,0.00207323,-2.47794e-05,-4.1458e-06,-1.83702e-05,7.7658e-06,-0.000133762,0.000106752,0.000191335,-0.000412858,-0.000561908,-0.000150699,-0.000263893,-1.64467e-05,0.000136706,-0.000289613,-0.00018149,0.00017232,-1.80917e-05,8.38051e-05,3.88459e-05,-0.000260528,4.425e-06,8.80628e-05,0.00021014,-0.00034229,8.93375e-05,-0.000218708,-0.000172474,7.29656e-05,7.74838e-05,7.3291e-05,1.80096e-05,-1.3477e-06,5.25646e-05,2.62299e-05,-3.35666e-05,3.45587e-05,8.88642e-05,0.000122308,0.000140575,-0.00553753,8.89513e-05,5.04434e-05,2.35524e-05,0.000503879,-0.000276664,4.6079e-06,-0.000254473,0.0032373,0.000206984,-5.95751e-05,-2.88756e-05,-5.06171e-05,-0.000136383,-0.000540568,-0.00036285,6.84756e-05,7.88952e-05,6.61583e-05,7.22563e-05,7.10293e-05,0.000218556,-0.00104552,9.17327e-05,9.25657e-05,-8.42233e-05,-2.12495e-05,0.000204252,6.49411e-05,-0.00021689,-0.000107593,-0.000222623,-0.000180075,-0.00051438,-2.6302e-05,8.93375e-05,-0.000347495,-9.9058e-06,-0.000495507,-0.000122181,-0.000173335,-0.000130823,7.89433e-05,-2.39031e-05,-0.000104238,3.62708e-05,-0.000147468
HAK1,-0.000272575,-0.000356288,6.50206e-05,4.79491e-05,-0.000245848,3.6531e-05,-0.00124333,0.0023108,-0.00412555,-0.0098139,-0.00232908,-0.00163853,0.00156675,-0.000181265,-0.00118882,-0.000180899,-0.000694646,0.000104174,-0.000500127,1.39019e-05,-0.00436621,-0.000823658,-0.00185593,-0.00135033,-0.00134517,0.000813552,-0.00134989,0.000686328,0.000509903,-0.00202764,0.000609649,0.000221292,-0.000610626,-0.000505899,-0.00123514,0.000299001,-0.000660834,-0.000212187,0.000278882,-0.000685777,0.000385038,0.000345961,-1.20778e-05,8.06264e-05,-9.54187e-05,0.000300812,0.000563879,-0.000389307,2.25345e-05,0.000241304,-0.000183204,0.000346437,-0.010667,0.000786847,0.000489195,0.00221367,0.00097324,-0.000571623,-8.12298e-05,-0.000531737,0.00546101,-0.000741467,-0.000254654,-0.000129272,-0.000194523,-0.00123009,-0.0006087,-0.00128121,-0.000416639,0.00386562,-0.000326359,-0.00078342,-0.00053662,0.00236422,-0.0022976,0.000606266,6.00585e-05,0.00107866,-0.000140455,0.000408002,0.000217911,-0.000589225,-0.000190532,-0.00107168,-0.00155159,-0.000906708,-0.000174934,-0.000212187,-0.000125885,-3.47978e-05,-0.000870919,2.64898e-05,-0.000318736,0.000304963,3.70772e-05,0.000602544,0.000251062,0.000751326,0.000201997
