FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyraja_brachyurops,Dalatias_licha,Dipturus_oxyrinchus,Etmopterus_spinax,Galeus_melastomus,Myliobatis_aquila,RSH_C1,RSS_C1,Raja_asterias,Raja_miraletus,Raja_polystigma,SSH_C1,SSS_C1,Scyliorhinus_canicula,Torpedo_marmorata,Torpedo_torpedo,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.00041306,-2.27867e-05,1.1329e-05,-0.000266469,0.000132547,3.52826e-05,3.21954e-05,9.92675e-05,5.09354e-05,5.30802e-05,-2.35249e-05,-6.07863e-05,-7.98759e-05,6.3773e-06,2.92773e-05,7.79413e-05,-1.12238e-05,-9.35715e-05,1.76658e-05,3.22057e-05,-2.3214e-06,1.67212e-05,-6.0637e-06,-0.00010615,4.03251e-05,1.14312e-05,3.1749e-05,-0.000947342,-0.000708425,-9.4136e-05,5.36314e-05,1.96767e-05,-4.29879e-05,-5.96902e-05,1.24298e-05,0.000207669,-6.5833e-06,6.8975e-06,-1.03e-06,3.08014e-05,8.23303e-05,-3.2826e-06,8.399e-07,6.4299e-06,-3.39135e-05,2.6408e-05,-6.65106e-05,1.52854e-05,6.9141e-06,1.85189e-05,2.15729e-05,-6.39431e-05,6.70856e-05,3.46003e-05,6.57083e-05,0.00013367,-1.09368e-05,2.0653e-06,-5.38755e-05,-7.5975e-06,-8.684e-05,-8.58786e-05,-3.41506e-05,-5.2654e-06,-3.92901e-05,3.18674e-05,8.86397e-05,3.94909e-05,-2.97874e-05,4.96591e-05,1.69205e-05,2.121e-06,-2.5438e-06,4.8447e-06,5.28813e-05,0.000114297,-6.63372e-05,7.79915e-05,-5.60048e-05,-3.86426e-05,-7.27718e-05,-3.28163e-05,-4.6515e-06,1.60394e-05,4.89e-07,-0.000143016,-1.18891e-05,-1.50636e-05,3.30074e-05,3.01775e-05,6.8975e-06,-1.23328e-05,-9.13053e-05,3.30937e-05,8.8738e-06,1.72815e-05,8.1122e-06,-1.51795e-05,-0.000836052,-0.000573207,-6.906e-07,1.54825e-05
MM,0.0250035,-0.0903149,-0.00591669,-0.0396152,-0.00383389,-0.0072794,0.00841219,0.016121,-0.0369965,0.00542393,0.00137852,0.00601084,-0.00496435,0.0145501,0.0313623,-0.023766,-0.0107015,-0.0156641,-0.134489,0.0346338,0.00646052,0.00795576,-0.0676701,0.0564973,0.0310079,0.00230621,-0.0160965,0.0635474,0.0226924,0.00325382,0.0368894,-0.0162372,-0.101415,-0.241982,0.00256923,-0.0151928,0.0123635,-0.0193319,-0.0175592,0.0038117,-0.0101302,-0.00711469,0.00213775,0.00124912,0.00624512,-0.00461059,0.0112766,-0.00491864,0.000675748,0.000662624,-0.00253963,-0.00376232,-0.0110504,-0.00253835,-0.0096301,-0.0121923,0.00247816,-0.000896641,0.00633528,4.1411e-05,0.0107578,0.00817355,0.00478876,0.000304848,0.00511062,0.0111824,0.224819,-0.00785926,-0.128797,0.0797204,-0.00450664,-0.00276053,-0.00961007,-0.00608252,-0.00719226,-0.00693038,-0.0946316,0.152207,-0.120244,-0.0985166,-0.093304,0.00541975,0.00104112,-0.00230937,0.0172987,-0.0191303,-0.0521006,-0.0705037,0.00428509,-0.00423255,-0.0193319,0.0102584,-0.0225624,0.0038463,-0.00511623,-0.00443421,-0.00526175,0.0140307,0.0446011,0.0328317,0.00621877,-0.00821972
TUR,8.25029e-05,-0.000342961,-0.155589,-0.000139002,8.53652e-05,6.0669e-05,-1.04215e-05,-2.22092e-05,-0.000194862,0.000439371,0.000534924,-0.000154048,-1.90942e-05,0.00057493,0.00146336,0.000641912,0.000677864,0.000113704,0.00100333,9.03379e-05,4.08861e-05,0.000269023,0.000323539,0.000198565,7.76209e-05,-3.85667e-05,9.7642e-06,8.83549e-05,0.00041654,2.656e-05,-0.000145698,7.66148e-05,-0.00269486,8.54228e-05,-4.28806e-05,0.000141084,8.60379e-05,-0.0179213,0.000388031,0.000458838,-3.22659e-05,0.00148024,0.000161116,0.00120867,0.000468087,0.00328683,0.00294655,0.0275099,-0.384984,0.00301246,0.0254437,0.000269695,-6.45734e-05,3.1707e-06,-2.9723e-05,-1.19417e-05,1.17214e-05,-6.1878e-06,-5.3353e-05,8.3635e-06,4.18132e-05,2.66817e-05,-0.000295594,-0.000647381,-0.000278959,-0.000187491,-7.20931e-05,0.000489566,8.03615e-05,-3.62965e-05,0.000570553,-0.000836781,0.00157079,-0.00809117,-0.00201814,-0.00022716,-0.000878945,-3.2927e-05,-0.000313759,0.000266064,0.000188156,-0.000250109,6.2683e-06,-2.92827e-05,-0.00121658,0.000111157,7.27423e-05,-0.000319657,8.2763e-06,5.13436e-05,-0.0179213,-0.000371994,-8.80388e-05,1.02642e-05,-4.53907e-05,0.00042207,7.77821e-05,8.31201e-05,0.000228859,0.000145623,-0.000272469,0.000285001
XIP,-0.00193533,-0.000869425,0.000370176,-0.29624,-0.235021,-0.0461251,0.0306977,-0.0156241,-0.00345904,0.00503596,0.0109547,0.0124989,0.013191,-0.00114413,0.000168245,0.000912455,0.000125715,0.0208002,-0.0451382,0.0021406,-0.00315374,-0.0014599,0.0308638,-0.00312432,-0.00962414,0.0411412,0.0285894,-0.0122837,0.012876,0.00540402,0.000754251,0.00345059,-0.00624552,-0.00872123,-0.000278202,0.00301005,-0.00168431,0.00488166,0.00515242,-0.00333106,-0.00063471,0.00170504,-0.00135537,-0.000234385,-0.000189799,-0.000165489,0.00233228,-0.00104452,-8.86072e-05,-0.00391217,-0.00100936,0.000740294,0.00170112,-0.0175495,-0.00221018,0.00167389,-0.000367679,0.00013302,0.000509531,0.000191959,-0.00158424,-0.000817635,0.000357085,-0.000103876,4.67e-07,-0.0223239,-0.00102291,-0.00485526,0.00068374,-0.00120147,-0.0187496,-0.0114739,-0.00456622,-0.0168058,-0.0186492,-0.0183901,0.00160311,-0.000567305,-0.00189399,-0.000145779,0.00230543,-0.000707478,-0.000165492,-0.00010347,0.00242168,0.32546,0.0235091,0.0218072,0.0104923,-0.037552,0.00488166,0.0014479,0.282324,0.00834406,-0.0005054,0.000173417,-5.32879e-05,0.0206045,0.0039481,-0.00854969,0.00914573,-0.00190818
THU,0.00124079,-0.00900177,0.000176845,-0.10983,-0.135497,-0.0313109,-0.0289659,0.0297314,-0.0105492,0.00124085,0.00283988,0.00857691,0.00914194,0.00698097,0.0203698,-0.00646462,-0.00327487,0.0083166,0.00452558,0.0112092,0.00475984,8.34762e-05,-0.0895884,-0.00555675,-0.000574853,0.0272021,-0.000129195,0.000593385,0.00334598,0.00394567,0.00403589,0.00300701,0.00716109,-0.028844,3.64699e-05,0.000413081,-0.00133184,0.00188509,1.31359e-05,-0.00157083,-0.00154991,5.27605e-05,-0.000149745,-1.737e-06,0.000587578,-0.00049832,-0.00196235,0.00157524,-3.28717e-05,-0.00150285,0.00131918,0.000160893,-0.000953601,-0.0119719,-0.00137973,-0.00173214,0.000357169,-0.000180773,0.000998521,-6.36767e-05,0.00116394,0.0011189,0.000701733,2.9299e-06,0.000558493,-0.00883853,0.0225051,-0.00278427,-0.0110087,0.00785844,-0.0088881,-0.00468479,-0.00176021,-0.0061488,-0.0090074,-0.00870332,-0.0102979,0.0158009,-0.00762384,-0.0103912,-0.00641348,0.000515962,0.000136461,-0.00035292,-0.00169513,-0.0532417,-0.0565165,-0.0655927,-0.0295827,-0.0239661,0.00188509,0.000328565,0.153327,-0.0296483,-0.000359059,-0.000788299,-0.000536419,0.00775045,0.00102697,0.0102241,0.0027932,-0.000640696
LPL,-0.00497473,-0.0056415,9.54334e-05,-0.0331681,-0.0843076,-0.440439,-0.347352,0.132031,0.0371105,0.00433352,-0.0691368,-0.153368,-0.197326,0.0119626,0.00504494,0.0223375,0.0172901,-0.236507,-0.00429014,-0.0365545,0.0227568,0.0213967,-0.0365573,-0.000624222,0.105911,-0.495516,-0.26788,0.0741548,-0.177073,-0.0669811,-0.0056747,-0.0324553,0.00983503,0.0511078,0.00672177,-0.00386805,0.016774,-0.00711201,-0.0518747,0.0472606,0.0114654,-0.015904,0.0106667,0.00305311,0.000493983,0.00229784,-0.015477,0.00539935,1.45048e-05,0.043204,0.00738198,-0.0138177,-0.0121085,0.212797,0.0300683,-0.00750737,0.00267348,-0.00103308,-0.00867976,-0.00210374,0.00969863,0.00236931,-0.00567663,0.000224803,-0.00283699,0.0601447,-0.0426256,0.0284801,0.0256434,-0.00352589,0.0214496,0.00525517,0.0207485,0.019401,0.0284898,0.029966,0.00866172,-0.0295495,0.0327368,0.0315409,-0.00119615,0.0033634,0.00129743,0.00188181,-0.022096,-0.0237372,-0.0966721,-0.0293431,-0.108822,0.451937,-0.00711201,-0.0184892,0.0751191,-0.0834613,0.00248064,0.00591427,-0.00318795,-0.100721,-0.0376276,0.023997,-0.0512512,0.00760166
MPL,-0.000552862,-0.00721714,-0.00200465,0.0123086,-0.00150654,-0.00723702,-0.115956,-0.449779,0.00348618,0.00030654,-0.0127963,-0.020569,-0.0291152,0.00766917,0.00984805,0.000420294,6.22204e-05,-0.0361491,0.00283954,-0.00158143,0.00472685,-0.0249124,-0.0394728,0.0117905,0.0133394,0.00846769,0.0206358,-0.000720838,-0.00669996,0.00233445,-0.00321473,-0.0172864,-0.0417576,-0.00298381,0.000121278,-0.00363854,0.00885533,-0.00435856,-0.00628653,0.00836554,0.000116037,-0.00355651,-0.00266234,0.000469783,0.000589061,-0.000644886,0.00456223,-0.00272943,0.000316084,0.00545966,-0.00187171,0.00335666,-0.00843604,-0.00292948,0.000571738,0.0136508,-0.00155806,0.000441597,-0.000235883,0.000941733,0.000186741,-0.00639752,-5.42331e-05,0.000241617,0.00024089,0.00018695,-0.000126023,0.00328867,-0.00707456,-0.00133461,0.00164055,-0.00455071,0.00265433,0.00207088,0.00195439,-0.000229263,-0.0100068,-0.00229729,-0.00514219,-0.0162849,0.000804718,0.00103505,-0.000595269,4.24217e-05,0.0355033,0.00256857,0.183578,-0.0274016,0.649625,-0.0109886,-0.00435856,0.00282392,0.0028608,0.624702,-0.00400459,0.00213732,-0.00261769,-0.0127642,-0.0033098,0.0256517,-0.00779544,-0.0016038
SPL,-0.00358787,-0.00893012,0.00152452,-0.00300849,-0.00247817,-0.0154151,0.187209,-0.142158,-0.00617037,0.001121,-0.00808681,-0.00401603,-0.00468523,-0.0116974,-0.0142315,-0.00428662,-0.00533069,-0.00416604,-0.00107401,0.00682418,-0.00105684,-0.00401933,0.0741158,-0.00977497,-0.0482695,0.011124,-0.0341395,-0.0118483,0.00571882,-0.000749045,0.00528986,-0.00167311,-0.00568264,-0.010561,0.00201254,0.00465077,0.00162015,0.00325297,0.0255816,0.00137027,0.00783245,0.0078082,-0.00728295,-0.0013682,-0.00669443,0.00253483,0.00617472,-0.0044636,0.000834609,0.00382036,-0.00322637,-0.00311184,0.00702457,-0.00711591,0.000420074,-0.0211364,0.00394266,-0.00148433,-0.00400352,-0.00350694,0.00319882,0.0087554,-0.00279398,-0.000313879,-0.00381246,-0.0189532,0.00749454,0.00385065,-0.0130687,-0.00403843,0.000664266,-0.00232338,0.00554346,-0.00317325,7.10445e-05,-0.00149453,0.0224717,0.00821328,-0.00613758,-0.00487728,-0.00300491,-0.00574125,0.00150606,0.00207737,0.00971437,-0.00208842,0.084325,0.0560127,0.133916,0.0437763,0.00325297,0.00117195,0.00219578,0.12825,4.7896e-05,0.010851,0.00185952,0.00287085,-0.00402067,0.048485,0.00229147,0.00184947
HAK0,-0.000108244,-4.22553e-05,4.94477e-05,1.66287e-05,-2.65375e-05,-1.63388e-05,-0.00069591,0.000412973,-0.00291091,-0.00377034,0.000352223,-5.76685e-05,0.00207529,-3.92142e-05,-1.75295e-05,-2.24434e-05,7.6954e-06,-0.000132518,0.00010708,0.000192247,-0.000413243,-0.000561339,-0.000153736,-0.000282717,-1.44362e-05,0.000135953,-0.000287785,-0.00018165,0.000172401,-1.81904e-05,7.64849e-05,3.08631e-05,-0.000265614,4.5428e-06,8.88152e-05,0.000210885,-0.000337916,9.20013e-05,-0.000219058,-0.000171796,7.36071e-05,7.72733e-05,7.33467e-05,1.78971e-05,-1.4819e-06,5.29302e-05,2.76674e-05,-3.40305e-05,3.45139e-05,8.8459e-05,0.00012176,0.00014053,-0.00553618,8.92415e-05,4.99958e-05,2.31258e-05,0.000503768,-0.000276582,4.1438e-06,-0.000254508,0.00323666,0.000207029,-5.97741e-05,-2.87513e-05,-5.08311e-05,-0.000135443,-0.000296896,-0.000362715,0.000251469,-0.00136021,6.87875e-05,8.0229e-05,6.62944e-05,7.2709e-05,7.33832e-05,7.18254e-05,0.000284005,5.52282e-05,0.000159072,-1.6748e-05,0.000261163,-2.18547e-05,0.000204191,6.5066e-05,-0.00022122,-0.000111069,-0.000213444,-0.000183929,-0.000517174,-2.59031e-05,9.20013e-05,-0.000349262,-1.04465e-05,-0.00049817,-0.000123804,-0.00017306,-0.000131911,7.99245e-05,-2.39575e-05,-0.000105211,3.62663e-05,-0.000148101
HAK1,-0.000304909,-0.000376712,0.000102449,5.1168e-06,-0.000233446,7.30141e-05,-0.00124235,0.00227837,-0.00381008,-0.0117558,-0.00402001,-0.00235705,0.00172891,-0.000466662,-0.00176563,-0.000191561,-0.000731356,0.000262065,-0.000559165,-1.58374e-05,-0.00438213,-0.000811925,-0.00181416,-0.00118244,-0.00134274,0.000779866,-0.00135796,0.000637353,0.000392837,-0.00202823,0.000613614,0.00020877,-0.000621033,-0.000596615,-0.00121271,0.000314779,-0.000657233,0.000117356,0.000340814,-0.000693782,0.000404111,0.000355756,-3.25077e-05,7.87802e-05,-0.000106617,0.000308403,0.000562069,-0.000397697,1.68772e-05,0.000214255,-0.000169284,0.000330723,-0.0106404,0.000799934,0.000484323,0.00221661,0.000968524,-0.000569013,-9.41262e-05,-0.000531534,0.0054445,-0.000746842,-0.000259921,-0.000129615,-0.000204897,-0.00115326,-5.18401e-05,-0.00117222,1.78778e-05,-0.0027645,-0.000344816,0.00733507,-0.00024924,-0.000622826,-0.000378129,-0.0004596,0.00190714,0.00060295,6.53004e-05,0.00110145,0.0100278,-0.000161651,0.00040579,0.000221263,-0.000552923,-0.000200471,-0.00101837,-0.0015191,-0.000896391,-0.000147831,0.000117356,-0.000157933,-4.70578e-05,-0.000859609,-1.74707e-05,-0.000298379,0.000247617,6.77973e-05,0.00052358,0.00022229,0.000682428,0.000147689
