FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PL,PB,MB,BB,PS,SG,DF,MA,ESH,ESS,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100
SB,-0.00041306,-2.27884e-05,1.2829e-05,-0.000266204,0.000132543,3.54298e-05,2.99154e-05,9.94469e-05,4.90522e-05,5.96569e-05,-1.76301e-05,-5.98189e-05,-8.083e-05,6.172e-06,3.97274e-05,8.04132e-05,-7.4198e-06,-9.35959e-05,2.27727e-05,3.32127e-05,-2.536e-06,1.76428e-05,-7.5841e-06,-0.00011675,4.09071e-05,1.13199e-05,3.21579e-05,-0.000947082,-0.000707733,-9.44235e-05,4.92355e-05,1.87967e-05,-4.53175e-05,-5.88748e-05,1.22599e-05,0.000213138,-6.267e-06,2.21579e-05,-1.4343e-06,3.10954e-05,8.22503e-05,-2.565e-06,-1.92e-07,6.2368e-06,-3.43167e-05,2.65539e-05,-6.75906e-05,1.62067e-05,6.3853e-06,1.88234e-05,2.21361e-05,-6.38137e-05,6.68722e-05,3.47361e-05,6.56717e-05,0.000133668,-1.09126e-05,-8.58703e-05,2.0512e-06,-3.40516e-05,-5.38552e-05,-7.6074e-06,-5.233e-06,-8.67142e-05,-3.93907e-05,-2.47594e-05,5.31637e-05,-3.34738e-05,-4.6444e-06,1.60044e-05,-7.33e-07,-0.000144288,-6.6504e-06,-1.69661e-05,3.13658e-05,3.02185e-05,2.21579e-05,-1.21813e-05,-9.12595e-05,3.152e-05,8.7594e-06,1.72971e-05,7.8902e-06,-1.45363e-05,-0.000835603,-0.000573514,-7.4783e-06,1.60523e-05,,,,,,,,,,,,
MM,0.0254691,-0.090191,-0.0043322,-0.0392889,-0.00381835,-0.00755481,0.00739556,0.0170916,-0.0435294,0.0362331,0.028184,0.0155783,-0.0139737,0.0192246,0.0575966,-0.0192951,-0.00518757,-0.0173711,-0.127118,0.0368076,0.00569302,0.0108418,-0.0689773,0.0535226,0.0317746,0.00259076,-0.0154222,0.064313,0.0252363,0.00297687,0.0342897,-0.0198325,-0.104826,-0.240117,0.00189619,-0.00831409,0.0142013,-0.00144506,-0.019696,0.00391799,-0.0106874,-0.00665078,0.000863293,0.00108129,0.00583776,-0.00467619,0.00959309,-0.00367854,-8.45598e-05,0.00141462,-0.00187216,-0.00427919,-0.0120405,-0.00255919,-0.00957301,-0.012193,0.00260773,0.00827347,-0.000973772,0.00515287,0.00669007,2.58977e-05,0.000365012,0.0113364,0.00520198,-0.0748497,0.0944486,0.00487185,0.00109683,-0.00245142,0.0184135,-0.0181837,-0.0473127,-0.0722684,0.00346341,-0.00447524,-0.00144506,0.0130418,-0.0225052,0.00304535,-0.00395267,-0.0052075,-0.00437471,0.0148829,0.0461446,0.0333606,0.00206741,-0.00660381,,,,,,,,,,,,
TUR,8.55779e-05,-0.000330734,-0.155623,-0.000130922,8.35135e-05,5.07209e-05,2.83447e-05,-2.30564e-05,-0.000251596,0.000760065,0.000821927,-1.96909e-05,-2.8057e-05,0.000541976,0.00111016,0.000646705,0.000657091,8.05316e-05,0.000972468,9.4629e-05,5.59328e-05,0.000291905,0.000335546,0.000264591,7.8618e-05,-2.87691e-05,1.33091e-05,9.38779e-05,0.000407388,2.89672e-05,-8.26782e-05,6.70129e-05,-0.00261556,9.53049e-05,-4.56482e-05,0.000107926,9.30204e-05,-0.0182893,0.000380617,0.000457242,-3.23267e-05,0.00148609,0.00018071,0.00120602,0.00046839,0.00328876,0.00294565,0.0275082,-0.38497,0.00301806,0.0254387,0.000262276,-7.68675e-05,-1.0714e-06,-2.75831e-05,-1.14819e-05,1.31998e-05,2.70601e-05,-7.0937e-06,-0.000296091,-5.2854e-05,7.6519e-06,-0.000646274,4.88365e-05,-0.000276721,-0.00124131,3.62564e-05,-0.00024327,6.8824e-06,-2.93322e-05,-0.00120647,0.000131723,-4.2625e-05,-0.000291715,3.42299e-05,4.50367e-05,-0.0182893,-0.000350689,-8.55261e-05,3.48557e-05,-2.68685e-05,0.000418324,9.54408e-05,7.56071e-05,0.000227994,0.000149963,-0.000301235,0.000297889,,,,,,,,,,,,
XIP,-0.00197903,-0.000965674,1.48806e-05,-0.296332,-0.235019,-0.0460871,0.0308205,-0.0156603,-0.00273037,0.00100833,0.00729742,0.0111621,0.0132505,-0.0030748,-0.00474225,-0.000211327,-0.000937069,0.021044,-0.0464037,0.00204552,-0.00315384,-0.00178632,0.0308494,-0.00234736,-0.00977779,0.041104,0.02849,-0.0123779,0.0126553,0.00544741,0.00114069,0.003493,-0.00625968,-0.00896948,-0.00022667,0.00172145,-0.00167112,0.00121902,0.00532732,-0.00334141,-0.000512857,0.00149887,-0.0010631,-0.000178657,-8.07141e-05,-0.000156982,0.00277703,-0.00135855,4.81185e-05,-0.00405211,-0.0012098,0.000767391,0.00179666,-0.017546,-0.00220963,0.00167506,-0.000382213,-0.000837318,0.000141908,0.000283797,0.000436949,0.000186613,-0.000114075,-0.00164036,-1.82048e-05,-0.00226766,-0.000656841,-0.00058622,-0.00017236,-7.04602e-05,0.00223458,0.325366,0.0230998,0.0218111,0.0105928,-0.0375174,0.00121902,0.00109284,0.282303,0.00844218,-0.000706496,0.000233807,-0.000150089,0.0206188,0.00379813,-0.00859016,0.012479,-0.00218705,,,,,,,,,,,,
THU,0.00125385,-0.00898157,0.000188218,-0.109787,-0.135508,-0.0313224,-0.0290754,0.0297704,-0.0109009,0.00248294,0.0038261,0.00893599,0.00826632,0.00706327,0.0207775,-0.00658574,-0.00324785,0.00823907,0.00467102,0.0114246,0.00479279,0.000151314,-0.0898099,-0.00636025,-0.000557494,0.0272161,-9.71213e-05,0.000620366,0.00342855,0.00393113,0.00381097,0.00273491,0.00719907,-0.0287668,5.5297e-06,0.000502364,-0.00118498,0.00203446,-0.000113731,-0.00155259,-0.00154019,1.29242e-05,-0.000136981,6.1995e-06,0.000598443,-0.000491618,-0.0019616,0.00159175,-4.63635e-05,-0.00148996,0.00131452,0.000150672,-0.00101368,-0.01197,-0.0013756,-0.00172862,0.000363655,0.00111713,-0.000184598,0.000697754,0.00099318,-6.88532e-05,3.4132e-06,0.00119784,0.000554224,-0.00768708,0.00954688,0.000513348,0.000138679,-0.000349707,-0.00182783,-0.0533417,-0.0564335,-0.0657701,-0.0296664,-0.0239757,0.00203446,0.000333607,0.153339,-0.0297292,-0.000366212,-0.000827643,-0.000514186,0.00786545,0.00107862,0.0102044,0.00390908,-0.000619688,,,,,,,,,,,,
LPL,-0.00512511,-0.00547725,0.000307611,-0.033074,-0.0843037,-0.440336,-0.347525,0.131682,0.038219500000000003,-0.00121362,-0.0736753,-0.155205,-0.194027,0.0135252,0.00417281,0.022687,0.0173841,-0.236148,-0.00434136,-0.036955,0.0231074,0.0211805,-0.0363572,-0.00311188,0.106051,-0.495615,-0.267847,0.0739985,-0.177758,-0.0670015,-0.00604734,-0.0313576,0.0112431,0.0508638,0.00690777,-0.00364617,0.016143,-0.00565347,-0.0514154,0.0472677,0.0114763,-0.0156575,0.0105403,0.00300189,0.000423334,0.0023424,-0.015752,0.00560709,1.2163e-06,0.0431599,0.00756198,-0.0136889,-0.0119281,0.212838,0.030029,-0.00750525,0.00265184,0.00236131,-0.0010207,-0.00568249,-0.00870157,-0.00209198,0.000223116,0.00959245,-0.0028589,0.0158467,-0.0151568,0.00327528,0.00128805,0.00187799,-0.0224591,-0.0242533,-0.0973251,-0.0289585,-0.108922,0.452008,-0.00565347,-0.018926,0.0751295,-0.0835538,0.00231994,0.00610403,-0.00344011,-0.100857,-0.0380138,0.0237306,-0.0560247,0.00748803,,,,,,,,,,,,
MPL,-0.000565073,-0.00719673,-0.00184985,0.0123511,-0.00151782,-0.00722638,-0.116194,-0.449814,0.00345982,0.000356707,-0.0127084,-0.0205575,-0.0287809,0.00823084,0.0111216,0.00062451,0.000347909,-0.0361455,0.00319007,-0.00158266,0.0047827,-0.0249291,-0.0395847,0.0104216,0.0134037,0.00845908,0.02069,-0.000707359,-0.00670575,0.00231842,-0.00362663,-0.0175241,-0.0417343,-0.00293777,0.000114669,-0.0032168,0.00895955,-0.00287718,-0.00626398,0.00838638,0.000118914,-0.00346917,-0.0027731,0.000443271,0.000533092,-0.000627187,0.00445746,-0.00263064,0.000269382,0.00549534,-0.00181173,0.00337409,-0.00844903,-0.00292088,0.00056698,0.0136485,-0.00155704,-0.00639755,0.000441009,-4.75915e-05,-0.00024069,0.000940063,0.000247906,0.000195238,0.000228809,-0.00518949,-0.00142095,0.000955883,-0.000595149,4.08156e-05,0.0353217,0.00235554,0.183912,-0.0275154,0.649452,-0.0109872,-0.00287718,0.00274259,0.00287742,0.624536,-0.00403635,0.00215844,-0.0026652,-0.0127626,-0.0033046,0.0255916,-0.00906283,-0.00157056,,,,,,,,,,,,
SPL,-0.00354155,-0.00910653,0.00131835,-0.0032973,-0.0024117,-0.015437,0.188011,-0.142043,-0.00599655,-0.000527413,-0.00945012,-0.00439299,-0.00467322,-0.0130494,-0.0150835,-0.00436252,-0.00580112,-0.00404479,-0.00171924,0.00686579,-0.00147441,-0.00370038,0.0749851,-0.00364908,-0.0484065,0.0111399,-0.0342531,-0.0118947,0.00584866,-0.00067744,0.00695974,-0.00231527,-0.00656244,-0.0107521,0.00195456,0.00408325,0.00201875,0.00161768,0.0255847,0.00123034,0.00779734,0.00767514,-0.00722305,-0.00134047,-0.00668023,0.00247471,0.00632399,-0.00468246,0.00088296,0.00379158,-0.00332364,-0.00338697,0.0069832,-0.00714795,0.000441122,-0.0211312,0.00394573,0.00876011,-0.00148666,-0.00276324,-0.00396632,-0.00350473,-0.00031287,0.00322117,-0.00378115,0.00295395,0.00268624,-0.00567097,0.00150883,0.00206906,0.0109044,-0.00105738,0.0841743,0.0566316,0.134501,0.0437745,0.00161768,0.00181342,0.00212685,0.128812,0.000295684,0.0107709,0.00203522,0.002927,-0.00399184,0.0487868,0.0030082,0.0018473,,,,,,,,,,,,
HAK0,-0.000109241,-4.5234e-05,4.51099e-05,1.28024e-05,-2.80217e-05,-1.5732e-05,-0.0006974,0.00041275,-0.00290936,-0.00386715,0.00026826,-9.06038e-05,0.00208745,-9.21846e-05,-0.000105004,-5.21925e-05,-1.57405e-05,-0.000125699,8.65207e-05,0.000204569,-0.000415535,-0.000558701,-0.000153441,-0.000278577,-1.98246e-05,0.00013602,-0.000291048,-0.000183448,0.00017045,-1.82139e-05,8.42845e-05,1.168e-06,-0.000274132,8.767e-07,8.58086e-05,0.000193791,-0.000322078,4.49221e-05,-0.000213032,-0.000172074,7.73956e-05,7.59234e-05,7.61394e-05,1.80298e-05,-2.0425e-06,5.39447e-05,3.65367e-05,-3.99152e-05,3.65819e-05,8.72273e-05,0.000117692,0.000137142,-0.00554123,8.95402e-05,5.10008e-05,2.45394e-05,0.000504003,0.000205973,-0.000276746,-6.1271e-05,2.0687e-06,-0.000255073,-2.86512e-05,0.00323914,-5.19176e-05,0.00025509,-0.000410695,-2.28198e-05,0.000204258,6.59876e-05,-0.000222335,-0.000113894,-0.000206418,-0.000185435,-0.000518112,-2.55632e-05,4.49221e-05,-0.00035122,-9.0414e-06,-0.00049905,-0.000126725,-0.000170962,-0.000133516,8.99484e-05,-2.58445e-05,-0.000106118,7.00045e-05,-0.000152579,,,,,,,,,,,,
HAK1,-0.000267833,-0.000385354,6.51159e-05,3.72018e-05,-0.000246983,3.94313e-05,-0.00132101,0.00233621,-0.00417698,-0.00966024,-0.00219709,-0.00163932,0.00153889,-0.000706033,-0.00155412,-0.000229019,-0.000661701,0.000109274,-0.000438712,4.71753e-05,-0.00441059,-0.000826758,-0.00189836,-0.00150448,-0.00135266,0.000812372,-0.00135201,0.000698447,0.000561775,-0.00203339,0.000492349,0.000118338,-0.000859904,-0.000480618,-0.0012502,0.000365263,-0.000606137,-0.000190494,0.000283335,-0.000668924,0.000399326,0.000357087,-1.61097e-05,7.61208e-05,-0.000103926,0.000308141,0.000599733,-0.000408306,2.3782e-05,0.000243959,-0.000201245,0.000352995,-0.0106729,0.000789667,0.000490717,0.00221345,0.000973496,-0.000743422,-0.000571642,-0.000260294,-9.00652e-05,-0.000533665,-0.000127655,0.00546464,-0.000200728,0.00309178,-0.000635739,-0.000155012,0.000407964,0.000221259,-0.000646822,-0.000219393,-0.000786493,-0.00164069,-0.000963196,-0.000175436,-0.000190494,-0.00014261,-3.43126e-05,-0.000925153,7.2456e-06,-0.000308003,0.000297569,5.92313e-05,0.000631792,0.000255079,0.000781751,0.000204176,,,,,,,,,,,,
