FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,RSH,RSS,SSH,SSS,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.000413299,-2.30189e-05,1.17053e-05,-0.000266497,0.000132632,3.5639e-05,3.07017e-05,9.89781e-05,5.19966e-05,4.02621e-05,-3.49372e-05,-6.57978e-05,-7.69733e-05,1.2566e-06,2.2855e-05,7.63666e-05,-1.16719e-05,-9.24826e-05,1.80139e-05,3.33923e-05,-2.3764e-06,1.62062e-05,-6.811e-06,-0.000113066,4.04064e-05,1.11041e-05,3.17174e-05,2.06844e-05,1.62124e-05,-4.25968e-05,4.20112e-05,-0.000947538,-0.000709115,-9.42276e-05,5.18729e-05,2.10995e-05,-4.41218e-05,-6.01519e-05,1.26519e-05,0.000208617,-7.3283e-06,1.00716e-05,-3.402e-07,3.10422e-05,8.26075e-05,-3.0424e-06,7.1e-07,6.408e-06,-3.39811e-05,2.65792e-05,-6.64318e-05,1.53109e-05,6.8671e-06,1.82879e-05,2.16363e-05,-6.36981e-05,6.74768e-05,3.47599e-05,6.56349e-05,0.000133664,-1.09908e-05,2.0978e-06,-5.40759e-05,-7.6008e-06,-8.70676e-05,-8.59317e-05,-3.4282e-05,-5.2918e-06,-3.94501e-05,-3.30488e-05,-4.6782e-06,1.60953e-05,-9.15e-07,-0.000144323,-1.4041e-06,-1.60429e-05,3.20002e-05,3.04002e-05,1.00716e-05,-1.35293e-05,-9.14166e-05,3.21383e-05,8.1771e-06,1.77005e-05,7.5229e-06,-1.40694e-05,-0.000836466,-0.00057372,-1.25531e-05,1.50097e-05
MM,0.024862,-0.0910851,-0.00596594,-0.0396057,-0.00367697,-0.00679825,0.00535404,0.0163755,-0.0374228,-0.00397399,-0.0077841,0.00119673,-0.00377801,0.000191058,0.0187413,-0.0286698,-0.012197,-0.0145573,-0.134333,0.0374062,0.005698,0.00619289,-0.0697843,0.045618,0.0309626,0.00185323,-0.0162161,0.000827304,0.00215656,-0.0557671,0.0633344,0.0635779,0.0230527,0.00308874,0.0332009,-0.0134983,-0.106817,-0.242145,0.00276368,-0.0150103,0.011099,-0.019811,-0.0169371,0.00433329,-0.00962299,-0.00707677,0.00237908,0.00130881,0.0063727,-0.00439186,0.0124552,-0.00550077,0.00076011,0.000244789,-0.00300443,-0.00295754,-0.0103026,-0.00230899,-0.00973864,-0.0122824,0.00239351,-0.0008398,0.00597941,3.03722e-05,0.0103526,0.00811843,0.00448947,0.00024588,0.00487777,0.00531692,0.0010006,-0.00218772,0.014109,-0.0215422,-0.0422651,-0.073521,0.00215783,-0.00395405,-0.019811,0.00787798,-0.0228089,0.001818,-0.00649998,-0.00388047,-0.00609126,0.0161546,0.0447716,0.0323438,0.0176262,-0.00882773
TUR,8.72401e-05,-0.000332034,-0.155605,-0.000126217,8.30173e-05,5.19906e-05,-1.04648e-05,-1.61361e-05,-0.000278941,0.000939428,0.000975809,2.08145e-05,-4.97768e-05,0.000514526,0.00123943,0.00067918,0.000718056,7.46412e-05,0.00105139,9.75304e-05,5.1529e-05,0.000287123,0.000306054,0.000101157,8.49103e-05,-2.97897e-05,1.75873e-05,-0.00182985,0.000447541,-0.000602831,-2.78592e-05,9.96692e-05,0.000426423,2.47581e-05,-0.000161409,7.73141e-05,-0.00266487,0.00011201,-4.80144e-05,0.000172421,8.56082e-05,-0.0181075,0.000380435,0.000465339,-3.34712e-05,0.00149456,0.000169342,0.00120386,0.000464766,0.00329025,0.00293764,0.0275172,-0.384975,0.00302251,0.0254455,0.000271959,-7.61219e-05,5.638e-07,-2.82368e-05,-1.22494e-05,1.33058e-05,-7.1043e-06,-5.26598e-05,7.6854e-06,4.86621e-05,2.74636e-05,-0.000295497,-0.000645983,-0.000277796,-0.000250005,6.9089e-06,-2.96524e-05,-0.00123744,0.000108666,0.000204429,-0.000328495,5.9618e-06,4.4974e-05,-0.0181075,-0.000359702,-8.47959e-05,7.7083e-06,-3.13935e-05,0.000422755,9.27106e-05,7.55933e-05,0.00023957,0.000146888,4.74595e-05,0.000270566
XIP,-0.00192428,-0.000909609,0.000227692,-0.2962,-0.235047,-0.046137,0.0307455,-0.0155842,-0.00333315,0.00490561,0.0107519,0.0124279,0.0127381,-0.00186105,-0.00122462,0.000626569,-0.000114486,0.0207987,-0.0454487,0.00204657,-0.00318253,-0.00156887,0.0308035,-0.00267277,-0.00969101,0.041151,0.028556,-0.0109886,0.00285093,-0.000143067,-0.00049853,-0.0122854,0.0129147,0.00541801,0.000850398,0.00344895,-0.00640167,-0.00874289,-0.000280823,0.00258173,-0.0016683,0.0034842,0.00515964,-0.00334889,-0.00060417,0.00160844,-0.00123906,-0.000209654,-0.000139361,-0.000170646,0.00250325,-0.0011647,-3.76059e-05,-0.00394578,-0.00108494,0.000758986,0.00171878,-0.0175585,-0.00220573,0.00167219,-0.000369873,0.000134531,0.00049274,0.000189884,-0.00159395,-0.000821214,0.000334841,-0.000107325,1.812e-07,-0.00064833,-0.000166558,-9.35642e-05,0.00236487,0.325013,0.0290847,0.0217398,0.0105244,-0.0375584,0.0034842,0.0013662,0.282346,0.00837445,-0.000555632,0.000164298,-5.71523e-05,0.0205433,0.00396438,-0.00852919,0.0219329,-0.00207679
THU,0.00122552,-0.00903766,0.000155592,-0.109799,-0.135492,-0.0312724,-0.029325,0.0297423,-0.0106739,0.000791932,0.00229894,0.00827846,0.00914012,0.00585395,0.0189761,-0.00703354,-0.0034588,0.00837208,0.00453856,0.0115099,0.00477411,-0.000186357,-0.0899113,-0.00738795,-0.000584232,0.0271667,-0.000139287,-0.00540973,-3.3319e-06,-0.00437326,0.00661917,0.000603703,0.00336608,0.00392365,0.00352236,0.00333854,0.00690492,-0.02883,5.95542e-05,0.000362967,-0.00149219,0.00157641,8.13815e-05,-0.00150513,-0.00148833,4.62764e-05,-9.60565e-05,7.528e-06,0.000612158,-0.000469888,-0.00184195,0.00152853,-1.23259e-05,-0.0015406,0.00127808,0.000279119,-0.000885727,-0.0119508,-0.00139024,-0.00173944,0.000349566,-0.000175552,0.000955335,-6.6408e-05,0.00112686,0.00111132,0.000662314,-3.9454e-06,0.00053249,0.000515962,0.000132528,-0.000337347,-0.00218563,-0.0535406,-0.0682572,-0.0659361,-0.0298372,-0.023945,0.00157641,-1.98888e-05,0.153311,-0.0298917,-0.000526662,-0.000722975,-0.000626603,0.00796181,0.00104148,0.0101395,0.00798478,-0.000796642
LPL,-0.00496449,-0.00521378,0.000720333,-0.03293,-0.0843442,-0.440552,-0.346784,0.131813,0.0363136,0.00959135,-0.0638414,-0.151158,-0.195233,0.0188777,0.0146577,0.0250993,0.0190636,-0.236921,-0.00255069,-0.0368581,0.0230938,0.0224746,-0.0357718,-0.000289496,0.106306,-0.495404,-0.267624,-0.00352519,-0.0142532,0.0080704,-0.00819635,0.0741848,-0.177219,-0.067018,-0.00529297,-0.0330137,0.0119692,0.0513698,0.00668479,-0.00190413,0.0169645,-0.0010466,-0.0520197,0.0473068,0.0111631,-0.0154881,0.0101136,0.00292682,0.000254754,0.00226296,-0.0165843,0.00612423,-0.00020579,0.04349,0.00789092,-0.0140957,-0.012395,0.21278,0.0300659,-0.00748321,0.00271043,-0.00105716,-0.00849249,-0.0020902,0.00985714,0.00240847,-0.00548764,0.000256994,-0.00275924,0.00315301,0.00131492,0.00179872,-0.0210816,-0.0231361,-0.123588,-0.0282865,-0.108433,0.45186,-0.0010466,-0.017417,0.0752254,-0.0830914,0.00315062,0.00588618,-0.00285665,-0.101037,-0.0376717,0.0240401,-0.0975328,0.00789104
MPL,-0.000565153,-0.00718094,-0.00190215,0.0123447,-0.00151429,-0.00723535,-0.116034,-0.44986,0.00348306,2.63561e-05,-0.0130091,-0.0205618,-0.0288249,0.00857131,0.0110332,0.000588388,0.000180448,-0.0361469,0.00298899,-0.00155522,0.00480222,-0.0248791,-0.0395011,0.0112397,0.0133918,0.00846568,0.0206839,-0.00353394,-0.00109211,-0.00823468,-0.00189129,-0.00072366,-0.0067666,0.00233687,-0.00325526,-0.0175211,-0.0414973,-0.0029942,0.000121706,-0.00341552,0.00896658,-0.0033993,-0.00627098,0.00837183,0.000106363,-0.00350732,-0.00273895,0.00045375,0.000549739,-0.000638692,0.00444885,-0.0026443,0.000285252,0.00548685,-0.001811,0.00332583,-0.00846102,-0.00293045,0.000569449,0.0136514,-0.00155617,0.000440196,-0.000230623,0.000941187,0.000200456,-0.00639647,-4.17216e-05,0.000246139,0.000238396,0.000987275,-0.000594579,3.80076e-05,0.0355083,0.00248328,0.229181,-0.0273809,0.649568,-0.0109908,-0.0033993,0.00283174,0.00287297,0.624647,-0.0039776,0.00214766,-0.00262006,-0.012745,-0.00334025,0.0256117,-0.0124658,-0.00161592
SPL,-0.00354642,-0.00916861,0.00147109,-0.00324252,-0.0024149,-0.0153844,0.187361,-0.141981,-0.00612355,0.000154508,-0.00893136,-0.00451069,-0.00464114,-0.0143512,-0.0151083,-0.00442635,-0.00537269,-0.00399259,-0.00106801,0.00696207,-0.00153347,-0.00397593,0.0745091,-0.00632456,-0.0483675,0.0110928,-0.0342351,-0.00169665,0.00469163,0.0128122,0.000631126,-0.0118485,0.00601628,-0.000731414,0.0057887,-0.00193608,-0.00734087,-0.0106121,0.00195972,0.00467289,0.00180241,0.00313222,0.0256267,0.00135486,0.00783823,0.00777719,-0.00730575,-0.00136166,-0.00670919,0.00251037,0.00635527,-0.00464621,0.000840813,0.00379215,-0.00331893,-0.00319262,0.00706999,-0.0071125,0.000425247,-0.0211447,0.00393758,-0.00148079,-0.00400105,-0.00350515,0.00317611,0.00875707,-0.00278883,-0.000313774,-0.00381354,-0.00574614,0.00150477,0.00207861,0.0102492,-0.00150834,0.102918,0.0560392,0.134036,0.0437972,0.00313222,0.00144172,0.00212513,0.128367,9.64401e-05,0.010858,0.0019028,0.00300519,-0.0038928,0.0486938,0.00317312,0.00182477
HAK0,-0.00010805,-4.34485e-05,4.77961e-05,1.3447e-05,-2.79947e-05,-1.71213e-05,-0.000692161,0.000414325,-0.0029214,-0.00379124,0.000334742,-6.24858e-05,0.00205834,-5.23915e-05,-2.91972e-05,-3.50632e-05,-4.1626e-06,-0.000131248,9.85012e-05,0.000204376,-0.000415436,-0.00055153,-0.000152149,-0.00025691,-1.85526e-05,0.000137324,-0.000289978,0.000118867,-0.000107597,0.000194631,-0.000401622,-0.000182077,0.000174163,-1.82899e-05,8.93423e-05,-2.637e-06,-0.000268675,4.0457e-06,8.4606e-05,0.000205454,-0.000320418,7.68355e-05,-0.000220073,-0.000173278,7.5089e-05,7.62217e-05,7.37015e-05,1.78913e-05,-2.4975e-06,5.32016e-05,3.0612e-05,-3.63804e-05,3.48216e-05,8.90852e-05,0.000119709,0.000135136,-0.00554471,8.90273e-05,5.12907e-05,2.46272e-05,0.000504367,-0.000276974,3.5772e-06,-0.000255021,0.00324093,0.000206334,-6.00073e-05,-2.85722e-05,-5.1218e-05,-2.29493e-05,0.000204428,6.54328e-05,-0.000213148,-0.000106227,-0.000313083,-0.000182701,-0.000514616,-2.6451e-05,7.68355e-05,-0.000341841,-8.9011e-06,-0.00049574,-0.000121854,-0.000174388,-0.000130202,8.80755e-05,-2.34398e-05,-0.000103972,9.05557e-05,-0.000143563
HAK1,-0.00026523,-0.000374917,4.75797e-05,3.35778e-05,-0.000245071,3.12062e-05,-0.00122803,0.0023292,-0.00419027,-0.00963128,-0.00216742,-0.00157918,0.00149635,-0.000480279,-0.00144234,-0.000212201,-0.000717421,9.35653e-05,-0.000513413,5.31948e-05,-0.0044031,-0.000796965,-0.00183278,-0.00111044,-0.00135907,0.000819496,-0.00135722,0.00352762,-0.000652476,0.00166338,-0.000714414,0.000695346,0.000543492,-0.00202602,0.000665815,0.000128453,-0.000748,-0.000497604,-0.00124919,0.00030509,-0.000608616,-0.000353006,0.000264269,-0.000685636,0.00038945,0.000346201,-8.2253e-06,7.93924e-05,-9.91417e-05,0.000301866,0.00058367,-0.000406617,2.57616e-05,0.000244656,-0.000200343,0.000330448,-0.0106823,0.000784488,0.000492627,0.00221463,0.000974456,-0.000572349,-8.28437e-05,-0.000532987,0.00546922,-0.000742148,-0.000255407,-0.000128341,-0.000195445,-0.000142756,0.000408513,0.000218933,-0.00054809,-0.000142724,-0.00162179,-0.00155734,-0.000896835,-0.000179207,-0.000353006,-8.82393e-05,-3.61981e-05,-0.000861622,3.96299e-05,-0.000324639,0.000319437,5.8209e-05,0.000622098,0.000271039,5.35869e-05,0.000257688
