FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,RAY,SHK,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.000413537,-2.37175e-05,1.18784e-05,-0.00026631,0.000132654,3.62271e-05,2.63402e-05,9.91379e-05,5.39034e-05,2.82924e-05,-4.61871e-05,-7.22639e-05,-7.49956e-05,-1.33513e-05,7.3254e-06,7.24553e-05,-1.19387e-05,-9.1073e-05,1.88258e-05,3.39046e-05,-2.6905e-06,1.29268e-05,-9.9949e-06,-0.000130436,4.03359e-05,1.05528e-05,3.15566e-05,-0.000947565,-0.000708948,-9.44784e-05,4.46923e-05,2.53459e-05,-4.9229e-05,-6.01678e-05,1.29883e-05,0.000209119,-9.5778e-06,1.10793e-05,7.182e-07,3.18207e-05,8.3251e-05,-2.8032e-06,9.188e-07,6.4142e-06,-3.38669e-05,2.68698e-05,-6.50631e-05,1.47383e-05,6.9611e-06,1.7808e-05,2.12055e-05,-6.21013e-05,6.85702e-05,3.50519e-05,6.54914e-05,0.000133551,-1.11141e-05,2.1793e-06,-5.45452e-05,-7.6048e-06,-8.76662e-05,-8.60066e-05,-3.46875e-05,-5.3435e-06,-3.97498e-05,2.49508e-05,1.94559e-05,-3.32401e-05,-4.7364e-06,1.62549e-05,-6.2427e-06,-0.0001483,-8.121e-07,-1.99796e-05,2.89406e-05,3.07387e-05,1.10793e-05,-1.75786e-05,-9.15292e-05,2.92171e-05,5.9964e-06,1.85586e-05,6.0722e-06,-1.32966e-05,-0.000836411,-0.000574603,2.5131e-06,1.38836e-05
MM,0.0245161,-0.0920501,-0.00527974,-0.0392753,-0.00373728,-0.00600399,-0.00162926,0.0166879,-0.035435,-0.0160893,-0.0190126,-0.00675654,0.000250982,-0.0209602,1.11522e-05,-0.0332386,-0.0111384,-0.0127508,-0.131612,0.0378499,0.00515376,0.00223338,-0.0746304,0.0162222,0.0310863,0.00113701,-0.016207,0.0636208,0.0236616,0.00261116,0.0210055,-0.0103525,-0.114974,-0.241602,0.00301964,-0.0126884,0.00933037,-0.0139493,-0.015481,0.005739,-0.00866013,-0.00645394,0.00230235,0.00119209,0.00628213,-0.00389268,0.0142838,-0.00609784,0.000744069,-0.000227413,-0.00356802,-0.000795917,-0.00906911,-0.0018662,-0.00992509,-0.0124075,0.00224892,-0.000742105,0.00528334,-1.5378e-06,0.00967599,0.00799253,0.00394156,0.000224793,0.00441259,-0.00778188,0.047046,0.00469812,0.000928912,-0.0019551,0.00591812,-0.0275277,-0.0304761,-0.0796686,-0.00277987,-0.00353543,-0.0139493,0.00234955,-0.022822,-0.0029022,-0.0095466,-0.00252163,-0.00811349,0.0170081,0.0450582,0.030964,0.0118908,-0.0102787
TUR,8.11195e-05,-0.000341048,-0.155619,-0.00012751,8.36858e-05,5.94397e-05,-3.92641e-05,-2.33305e-05,-0.000225479,0.000566325,0.000649545,-0.000117761,8.72904e-05,0.00030795,0.000856893,0.000583223,0.000649305,0.000101703,0.000981063,0.000104784,5.04405e-05,0.000241803,0.000298453,-2.03808e-05,7.81717e-05,-3.68769e-05,1.08108e-05,9.32524e-05,0.000407555,2.49761e-05,-0.000187764,0.000125708,-0.00269237,9.54409e-05,-4.0343e-05,0.000117451,6.20094e-05,-0.0182647,0.00040543,0.000470929,-2.21529e-05,0.00149466,0.000181243,0.00120472,0.000467687,0.00329401,0.00296583,0.0275006,-0.384968,0.00301185,0.0254321,0.000285821,-5.96787e-05,3.347e-06,-2.99432e-05,-1.30656e-05,1.12449e-05,-5.8006e-06,-6.02453e-05,7.5948e-06,3.93466e-05,2.57831e-05,-0.000302126,-0.000646789,-0.000281496,-0.00116127,-0.000268858,-0.000248655,5.9739e-06,-2.69298e-05,-0.00128803,7.01131e-05,9.75018e-05,-0.000343432,-1.33037e-05,4.97503e-05,-0.0182647,-0.000412955,-8.67047e-05,-1.05436e-05,-5.84304e-05,0.000435844,7.37718e-05,8.88117e-05,0.00022767,0.000135738,-0.000364576,0.000282649
XIP,-0.00191695,-0.000894698,0.000251727,-0.296253,-0.235024,-0.046146,0.0307515,-0.0155842,-0.00353476,0.005476,0.0113699,0.0127031,0.0135903,-0.00167458,-0.000772221,0.000672758,-0.000104602,0.0207462,-0.0454096,0.00214464,-0.00319283,-0.00152752,0.0309564,-0.00257635,-0.00967309,0.0411598,0.0285577,-0.0122684,0.0129358,0.00541594,0.00095524,0.00342243,-0.00637341,-0.00871291,-0.000285985,0.00270939,-0.00165339,0.00371346,0.00520206,-0.00332741,-0.00062286,0.00167683,-0.00128623,-0.000228407,-0.000171905,-0.000169914,0.00244319,-0.00112396,-4.69036e-05,-0.00391871,-0.00107299,0.000741873,0.00170959,-0.0175602,-0.00220701,0.00167138,-0.000368002,0.000133515,0.000504539,0.000191154,-0.00158833,-0.000817688,0.000347581,-0.000103923,5.2073e-06,-0.0119513,-0.000426666,-0.000673816,-0.000165434,-9.94464e-05,0.00244246,0.325533,0.0234861,0.0218627,0.0105264,-0.037566,0.00371346,0.00144096,0.282323,0.00837611,-0.000494499,0.000193846,-2.09689e-05,0.0205888,0.00398269,-0.00850775,0.00921005,-0.00191755
THU,0.00118812,-0.00913611,0.000201101,-0.109754,-0.135503,-0.0311961,-0.0299771,0.029729,-0.0104572,-0.000672812,0.00100337,0.0074145,0.00981846,0.00369153,0.0168192,-0.00755777,-0.00345348,0.00856232,0.00467426,0.011561,0.0047179,-0.000573284,-0.0902984,-0.0101319,-0.00057555,0.0270984,-0.000142115,0.000601294,0.00340467,0.00387972,0.00239537,0.00359171,0.00611615,-0.0287942,8.68446e-05,0.000516699,-0.001634,0.00192697,0.00024353,-0.00136541,-0.00138788,0.00011138,-9.57326e-05,-5.9462e-06,0.000600059,-0.000419585,-0.00164148,0.00145414,-7.4898e-06,-0.0015915,0.00120535,0.000481117,-0.000764347,-0.0119076,-0.00140885,-0.00174993,0.000334848,-0.000165663,0.000883787,-6.98583e-05,0.00105965,0.00109736,0.000606628,-5.1177e-06,0.000486521,-0.00545797,0.00528819,0.000454493,0.000125286,-0.000313336,-0.00296835,-0.054187,-0.054559,-0.0664674,-0.0302977,-0.0239069,0.00192697,-0.000560219,0.153318,-0.0303318,-0.000825629,-0.00058103,-0.000826863,0.0080548,0.00105672,0.0100069,0.0034273,-0.000860705
LPL,-0.00507229,-0.00528625,5.86046e-05,-0.0332087,-0.0843072,-0.440491,-0.345707,0.131484,0.0382524,-0.000135638,-0.0727637,-0.154101,-0.196993,0.0178308,0.00700258,0.0235013,0.0169558,-0.236406,-0.00530028,-0.0373135,0.0232596,0.0221907,-0.0356066,0.00352843,0.106009,-0.495472,-0.26781,0.0739177,-0.177958,-0.0668798,-0.00350154,-0.0329185,0.0131372,0.050673,0.00681909,-0.00461075,0.0169795,-0.00783987,-0.0519259,0.046935,0.0113234,-0.0160024,0.0106824,0.00306859,0.000506088,0.00223332,-0.0159635,0.00560999,2.48134e-05,0.0432054,0.0076108,-0.0142366,-0.0122856,0.212746,0.0300832,-0.00746041,0.00268774,-0.00104537,-0.00858056,-0.00209523,0.00978561,0.00237382,-0.00558709,0.00023043,-0.00276529,0.021237,-0.00773938,0.00345365,0.00130438,0.00184395,-0.0207097,-0.0229734,-0.100773,-0.027815,-0.107623,0.451934,-0.00783987,-0.0177204,0.0751488,-0.0823103,0.00289498,0.00571295,-0.00303502,-0.101169,-0.0381457,0.0239939,-0.052079,0.0076411
MPL,-0.000604995,-0.00724857,-0.00195744,0.0123348,-0.00150589,-0.00717946,-0.116249,-0.44966,0.00385024,-0.00216294,-0.015018,-0.0214693,-0.0285903,0.00708378,0.00870326,3.25614e-05,-0.000100408,-0.0359666,0.00274915,-0.00153147,0.0047864,-0.0252281,-0.0396749,0.00998431,0.0133387,0.00841195,0.02063,-0.000760308,-0.00685319,0.00232746,-0.00366898,-0.0170182,-0.0417934,-0.00307946,0.000174483,-0.00366374,0.00870965,-0.00406662,-0.0061299,0.00840784,0.000184299,-0.00352381,-0.00266285,0.000467394,0.000583069,-0.000612157,0.00463173,-0.00274608,0.000320874,0.00541347,-0.0018784,0.00346023,-0.00833335,-0.00290626,0.000557173,0.0136378,-0.00157017,0.000449337,-0.000284362,0.000940262,0.000130895,-0.0064049,-9.08373e-05,0.000237323,0.000208653,-0.000321078,-0.00433138,0.00100022,-0.000601107,5.76441e-05,0.0350636,0.00215934,0.183999,-0.0276072,0.649424,-0.0109409,-0.00406662,0.00241636,0.00285263,0.624511,-0.00419772,0.00222405,-0.00276807,-0.0126731,-0.00339903,0.0255362,-0.00784677,-0.0017367
SPL,-0.00353092,-0.00910703,0.0014198,-0.00328688,-0.002434,-0.0154484,0.18782,-0.141964,-0.00615255,0.000661158,-0.00830201,-0.00410204,-0.00451667,-0.0130804,-0.0141841,-0.00410458,-0.00544098,-0.0040932,-0.00136855,0.00677533,-0.00149733,-0.0035258,0.0748918,-0.00454553,-0.0483608,0.011156,-0.0342002,-0.0118656,0.00597815,-0.000704027,0.00647706,-0.00300147,-0.00681022,-0.0106229,0.00190163,0.00446702,0.00235877,0.00266131,0.0255593,0.00126479,0.00780254,0.0077389,-0.00731182,-0.00137003,-0.00673785,0.00248958,0.00629877,-0.00463567,0.000846726,0.00384126,-0.00331334,-0.00341025,0.00690381,-0.00714369,0.000444727,-0.0211265,0.00395409,-0.00149149,-0.00396908,-0.00351083,0.00326658,0.00875848,-0.00275379,-0.000299974,-0.00378752,-0.00065987,0.00648048,-0.00574952,0.00151194,0.00206925,0.0107821,-0.00116446,0.0847227,0.0564852,0.134358,0.0437622,0.00266131,0.00188666,0.00216011,0.128674,0.000297331,0.0107782,0.00203105,0.00285331,-0.00391883,0.0487773,0.00207002,0.00193075
HAK0,-0.00010567,-3.81031e-05,4.86913e-05,1.26469e-05,-2.84324e-05,-2.16826e-05,-0.000663009,0.000414185,-0.00293988,-0.00366905,0.000447457,-6.0751e-06,0.00203191,6.13646e-05,0.000113598,1.366e-06,7.0182e-06,-0.00014323,0.000103123,0.00019982,-0.000413516,-0.000525152,-0.000132069,-0.000137105,-1.7134e-05,0.000141624,-0.0002879,-0.000180924,0.000176401,-1.68177e-05,0.000134402,-3.86196e-05,-0.000234986,6.6183e-06,8.13492e-05,0.000210101,-0.000301673,9.22624e-05,-0.00022935,-0.000179072,6.97974e-05,7.49868e-05,7.06981e-05,1.75966e-05,-3.7973e-06,5.10037e-05,1.89184e-05,-3.08255e-05,3.34201e-05,9.35241e-05,0.000124037,0.000123545,-0.00555351,8.68914e-05,5.23874e-05,2.54159e-05,0.00050541,-0.000277653,7.3659e-06,-0.000255012,0.00324588,0.000207005,-5.66725e-05,-2.8076e-05,-4.89332e-05,1.7671e-06,-0.000210016,-2.22686e-05,0.000204912,6.41274e-05,-0.000174779,-7.84595e-05,-0.000270811,-0.000157283,-0.000494332,-2.91859e-05,9.22624e-05,-0.000310197,-7.6967e-06,-0.000476398,-0.000105453,-0.000181343,-0.000119302,8.13749e-05,-2.17893e-05,-9.70876e-05,3.56926e-05,-0.000138565
HAK1,-0.000253156,-0.000351381,6.19387e-05,3.02274e-05,-0.000247524,1.16805e-05,-0.001118,0.00233806,-0.0042782,-0.00896293,-0.00157492,-0.00130279,0.00120329,3.498e-05,-0.000690963,-1.63928e-05,-0.000618611,3.72668e-05,-0.000438656,2.19802e-05,-0.00439434,-0.00067394,-0.00178327,-0.000660503,-0.00134901,0.000838103,-0.00134353,0.000703052,0.000566484,-0.00202184,0.000807136,-4.60815e-05,-0.000622625,-0.000475353,-0.00126693,0.00036204,-0.000519711,-0.000170778,0.00020598,-0.000709919,0.000365272,0.000336094,-2.48685e-05,7.90078e-05,-0.000103652,0.000292001,0.000528171,-0.000377859,1.54696e-05,0.000265953,-0.000176649,0.000282758,-0.0107264,0.000775863,0.000497853,0.00221802,0.000979604,-0.000575672,-6.57621e-05,-0.000533233,0.00549398,-0.000738996,-0.000240322,-0.000126068,-0.000185751,0.00260737,0.000202096,-0.00014103,0.00041083,0.000213132,-0.000394977,-3.10057e-05,-0.00119992,-0.00148141,-0.00082088,-0.000190847,-0.000170778,5.17309e-05,-3.04918e-05,-0.00078929,0.00010809,-0.000361589,0.000366257,2.03765e-05,0.000636595,0.000299439,0.000880448,0.000256581
